,language,algorithm,training_size,vocab_size,overlap
0,cat,BPE,100000,500,0.51
1,cat,BPE,100000,1000,0.68
2,cat,BPE,100000,2500,0.81
3,cat,BPE,100000,5000,0.89
4,cat,BPE,100000,7500,0.93
5,cat,BPE,100000,10000,0.96
6,cat,BPE,100000,20000,0.99
7,cat,BPE,100000,30000,0.99
8,cat,BPE,100000,40000,0.99
9,cat,BPE,100000,50000,0.99
10,cat,WPC,100000,500,0.36
11,cat,WPC,100000,1000,0.63
12,cat,WPC,100000,2500,0.81
13,cat,WPC,100000,5000,0.89
14,cat,WPC,100000,7500,0.9
15,cat,WPC,100000,10000,0.9
16,cat,WPC,100000,20000,0.95
17,cat,WPC,100000,30000,0.96
18,cat,WPC,100000,40000,0.99
19,cat,WPC,100000,50000,1.0
20,cat,UNI,100000,500,0.35
21,cat,UNI,100000,1000,0.42
22,cat,UNI,100000,2500,0.49
23,cat,UNI,100000,5000,0.54
24,cat,UNI,100000,7500,0.54
25,cat,UNI,100000,10000,0.56
26,cat,UNI,100000,20000,0.56
27,cat,UNI,100000,30000,0.6
28,cat,UNI,100000,40000,0.96
29,cat,UNI,100000,50000,0.96
