,language,algorithm,training_size,vocab_size,overlap
0,ces,BPE,100000,500,0.42
1,ces,BPE,100000,1000,0.53
2,ces,BPE,100000,2500,0.58
3,ces,BPE,100000,5000,0.67
4,ces,BPE,100000,7500,0.68
5,ces,BPE,100000,10000,0.69
6,ces,BPE,100000,20000,0.73
7,ces,BPE,100000,30000,0.76
8,ces,BPE,100000,40000,0.78
9,ces,BPE,100000,50000,0.78
10,ces,WPC,100000,500,0.34
11,ces,WPC,100000,1000,0.52
12,ces,WPC,100000,2500,0.65
13,ces,WPC,100000,5000,0.76
14,ces,WPC,100000,7500,0.82
15,ces,WPC,100000,10000,0.84
16,ces,WPC,100000,20000,0.91
17,ces,WPC,100000,30000,0.93
18,ces,WPC,100000,40000,0.96
19,ces,WPC,100000,50000,0.96
20,ces,UNI,100000,500,0.39
21,ces,UNI,100000,1000,0.5
22,ces,UNI,100000,2500,0.53
23,ces,UNI,100000,5000,0.59
24,ces,UNI,100000,7500,0.61
25,ces,UNI,100000,10000,0.62
26,ces,UNI,100000,20000,0.66
27,ces,UNI,100000,30000,0.68
28,ces,UNI,100000,40000,0.69
29,ces,UNI,100000,50000,0.7
