,language,algorithm,training_size,vocab_size,overlap
0,deu,BPE,100000,500,0.45
1,deu,BPE,100000,1000,0.56
2,deu,BPE,100000,2500,0.73
3,deu,BPE,100000,5000,0.82
4,deu,BPE,100000,7500,0.86
5,deu,BPE,100000,10000,0.89
6,deu,BPE,100000,20000,0.94
7,deu,BPE,100000,30000,0.95
8,deu,BPE,100000,40000,0.97
9,deu,BPE,100000,50000,0.98
10,deu,WPC,100000,500,0.29
11,deu,WPC,100000,1000,0.52
12,deu,WPC,100000,2500,0.71
13,deu,WPC,100000,5000,0.81
14,deu,WPC,100000,7500,0.83
15,deu,WPC,100000,10000,0.87
16,deu,WPC,100000,20000,0.92
17,deu,WPC,100000,30000,0.94
18,deu,WPC,100000,40000,0.96
19,deu,WPC,100000,50000,0.96
20,deu,UNI,100000,500,0.43
21,deu,UNI,100000,1000,0.58
22,deu,UNI,100000,2500,0.68
23,deu,UNI,100000,5000,0.77
24,deu,UNI,100000,7500,0.79
25,deu,UNI,100000,10000,0.81
26,deu,UNI,100000,20000,0.84
27,deu,UNI,100000,30000,0.87
28,deu,UNI,100000,40000,0.88
29,deu,UNI,100000,50000,0.9
