,language,algorithm,training_size,vocab_size,overlap
0,eng,BPE,100000,500,0.2
1,eng,BPE,100000,1000,0.41
2,eng,BPE,100000,2500,0.57
3,eng,BPE,100000,5000,0.66
4,eng,BPE,100000,7500,0.7
5,eng,BPE,100000,10000,0.75
6,eng,BPE,100000,20000,0.84
7,eng,BPE,100000,30000,0.88
8,eng,BPE,100000,40000,0.89
9,eng,BPE,100000,50000,0.89
10,eng,WPC,100000,500,0.03
11,eng,WPC,100000,1000,0.32
12,eng,WPC,100000,2500,0.5
13,eng,WPC,100000,5000,0.64
14,eng,WPC,100000,7500,0.66
15,eng,WPC,100000,10000,0.69
16,eng,WPC,100000,20000,0.77
17,eng,WPC,100000,30000,0.8
18,eng,WPC,100000,40000,0.82
19,eng,WPC,100000,50000,0.84
20,eng,UNI,100000,500,0.23
21,eng,UNI,100000,1000,0.36
22,eng,UNI,100000,2500,0.46
23,eng,UNI,100000,5000,0.53
24,eng,UNI,100000,7500,0.57
25,eng,UNI,100000,10000,0.62
26,eng,UNI,100000,20000,0.66
27,eng,UNI,100000,30000,0.7
28,eng,UNI,100000,40000,0.91
29,eng,UNI,100000,50000,0.91
