,language,algorithm,training_size,vocab_size,overlap
0,fin,BPE,100000,500,0.31
1,fin,BPE,100000,1000,0.51
2,fin,BPE,100000,2500,0.69
3,fin,BPE,100000,5000,0.77
4,fin,BPE,100000,7500,0.81
5,fin,BPE,100000,10000,0.84
6,fin,BPE,100000,20000,0.88
7,fin,BPE,100000,30000,0.89
8,fin,BPE,100000,40000,0.92
9,fin,BPE,100000,50000,0.92
10,fin,WPC,100000,500,0.16
11,fin,WPC,100000,1000,0.43
12,fin,WPC,100000,2500,0.64
13,fin,WPC,100000,5000,0.74
14,fin,WPC,100000,7500,0.8
15,fin,WPC,100000,10000,0.83
16,fin,WPC,100000,20000,0.9
17,fin,WPC,100000,30000,0.93
18,fin,WPC,100000,40000,0.93
19,fin,WPC,100000,50000,0.93
20,fin,UNI,100000,500,0.31
21,fin,UNI,100000,1000,0.42
22,fin,UNI,100000,2500,0.57
23,fin,UNI,100000,5000,0.69
24,fin,UNI,100000,7500,0.71
25,fin,UNI,100000,10000,0.74
26,fin,UNI,100000,20000,0.76
27,fin,UNI,100000,30000,0.76
28,fin,UNI,100000,40000,0.76
29,fin,UNI,100000,50000,0.76
