,language,algorithm,training_size,vocab_size,overlap
0,fra,BPE,100000,500,0.42
1,fra,BPE,100000,1000,0.52
2,fra,BPE,100000,2500,0.69
3,fra,BPE,100000,5000,0.73
4,fra,BPE,100000,7500,0.79
5,fra,BPE,100000,10000,0.84
6,fra,BPE,100000,20000,0.91
7,fra,BPE,100000,30000,0.93
8,fra,BPE,100000,40000,0.94
9,fra,BPE,100000,50000,0.95
10,fra,WPC,100000,500,0.27
11,fra,WPC,100000,1000,0.52
12,fra,WPC,100000,2500,0.65
13,fra,WPC,100000,5000,0.73
14,fra,WPC,100000,7500,0.77
15,fra,WPC,100000,10000,0.79
16,fra,WPC,100000,20000,0.89
17,fra,WPC,100000,30000,0.9
18,fra,WPC,100000,40000,0.91
19,fra,WPC,100000,50000,0.91
20,fra,UNI,100000,500,0.32
21,fra,UNI,100000,1000,0.44
22,fra,UNI,100000,2500,0.52
23,fra,UNI,100000,5000,0.6
24,fra,UNI,100000,7500,0.64
25,fra,UNI,100000,10000,0.66
26,fra,UNI,100000,20000,0.7
27,fra,UNI,100000,30000,0.76
28,fra,UNI,100000,40000,0.77
29,fra,UNI,100000,50000,0.98
