,language,algorithm,training_size,vocab_size,overlap
0,hbs,BPE,100000,500,0.11
1,hbs,BPE,100000,1000,0.55
2,hbs,BPE,100000,2500,0.71
3,hbs,BPE,100000,5000,0.78
4,hbs,BPE,100000,7500,0.79
5,hbs,BPE,100000,10000,0.81
6,hbs,BPE,100000,20000,0.85
7,hbs,BPE,100000,30000,0.88
8,hbs,BPE,100000,40000,0.9
9,hbs,BPE,100000,50000,0.91
10,hbs,WPC,100000,500,0.07
11,hbs,WPC,100000,1000,0.28
12,hbs,WPC,100000,2500,0.64
13,hbs,WPC,100000,5000,0.75
14,hbs,WPC,100000,7500,0.78
15,hbs,WPC,100000,10000,0.79
16,hbs,WPC,100000,20000,0.83
17,hbs,WPC,100000,30000,0.86
18,hbs,WPC,100000,40000,0.88
19,hbs,WPC,100000,50000,0.89
20,hbs,UNI,100000,500,0.15
21,hbs,UNI,100000,1000,0.53
22,hbs,UNI,100000,2500,0.73
23,hbs,UNI,100000,5000,0.8
24,hbs,UNI,100000,7500,0.81
25,hbs,UNI,100000,10000,0.83
26,hbs,UNI,100000,20000,0.84
27,hbs,UNI,100000,30000,0.85
28,hbs,UNI,100000,40000,0.85
29,hbs,UNI,100000,50000,0.86
