,language,algorithm,training_size,vocab_size,overlap
0,hun,BPE,100000,500,0.48
1,hun,BPE,100000,1000,0.62
2,hun,BPE,100000,2500,0.82
3,hun,BPE,100000,5000,0.89
4,hun,BPE,100000,7500,0.95
5,hun,BPE,100000,10000,0.95
6,hun,BPE,100000,20000,0.98
7,hun,BPE,100000,30000,0.98
8,hun,BPE,100000,40000,0.98
9,hun,BPE,100000,50000,0.98
10,hun,WPC,100000,500,0.4
11,hun,WPC,100000,1000,0.55
12,hun,WPC,100000,2500,0.75
13,hun,WPC,100000,5000,0.88
14,hun,WPC,100000,7500,0.9
15,hun,WPC,100000,10000,0.95
16,hun,WPC,100000,20000,0.98
17,hun,WPC,100000,30000,0.98
18,hun,WPC,100000,40000,0.98
19,hun,WPC,100000,50000,0.98
20,hun,UNI,100000,500,0.45
21,hun,UNI,100000,1000,0.55
22,hun,UNI,100000,2500,0.66
23,hun,UNI,100000,5000,0.71
24,hun,UNI,100000,7500,0.77
25,hun,UNI,100000,10000,0.77
26,hun,UNI,100000,20000,0.78
27,hun,UNI,100000,30000,0.78
28,hun,UNI,100000,40000,0.78
29,hun,UNI,100000,50000,0.79
