,language,algorithm,training_size,vocab_size,overlap
0,ita,BPE,100000,500,0.22
1,ita,BPE,100000,1000,0.35
2,ita,BPE,100000,2500,0.46
3,ita,BPE,100000,5000,0.59
4,ita,BPE,100000,7500,0.67
5,ita,BPE,100000,10000,0.71
6,ita,BPE,100000,20000,0.79
7,ita,BPE,100000,30000,0.84
8,ita,BPE,100000,40000,0.85
9,ita,BPE,100000,50000,0.87
10,ita,WPC,100000,500,0.11
11,ita,WPC,100000,1000,0.35
12,ita,WPC,100000,2500,0.48
13,ita,WPC,100000,5000,0.59
14,ita,WPC,100000,7500,0.69
15,ita,WPC,100000,10000,0.73
16,ita,WPC,100000,20000,0.78
17,ita,WPC,100000,30000,0.82
18,ita,WPC,100000,40000,0.85
19,ita,WPC,100000,50000,0.86
20,ita,UNI,100000,500,0.2
21,ita,UNI,100000,1000,0.26
22,ita,UNI,100000,2500,0.34
23,ita,UNI,100000,5000,0.48
24,ita,UNI,100000,7500,0.55
25,ita,UNI,100000,10000,0.56
26,ita,UNI,100000,20000,0.6
27,ita,UNI,100000,30000,0.62
28,ita,UNI,100000,40000,0.65
29,ita,UNI,100000,50000,0.87
