,language,algorithm,training_size,vocab_size,overlap
0,mon,BPE,100000,500,0.45
1,mon,BPE,100000,1000,0.57
2,mon,BPE,100000,2500,0.69
3,mon,BPE,100000,5000,0.75
4,mon,BPE,100000,7500,0.76
5,mon,BPE,100000,10000,0.78
6,mon,BPE,100000,20000,0.83
7,mon,BPE,100000,30000,0.84
8,mon,BPE,100000,40000,0.86
9,mon,BPE,100000,50000,0.88
10,mon,WPC,100000,500,0.3
11,mon,WPC,100000,1000,0.5
12,mon,WPC,100000,2500,0.67
13,mon,WPC,100000,5000,0.72
14,mon,WPC,100000,7500,0.76
15,mon,WPC,100000,10000,0.78
16,mon,WPC,100000,20000,0.82
17,mon,WPC,100000,30000,0.83
18,mon,WPC,100000,40000,0.87
19,mon,WPC,100000,50000,0.88
20,mon,UNI,100000,500,0.34
21,mon,UNI,100000,1000,0.44
22,mon,UNI,100000,2500,0.5
23,mon,UNI,100000,5000,0.52
24,mon,UNI,100000,7500,0.52
25,mon,UNI,100000,10000,0.52
26,mon,UNI,100000,20000,0.57
27,mon,UNI,100000,30000,0.57
28,mon,UNI,100000,40000,0.62
29,mon,UNI,100000,50000,0.82
