,language,algorithm,training_size,vocab_size,overlap
0,pol,BPE,100000,500,0.37
1,pol,BPE,100000,1000,0.43
2,pol,BPE,100000,2500,0.53
3,pol,BPE,100000,5000,0.55
4,pol,BPE,100000,7500,0.58
5,pol,BPE,100000,10000,0.59
6,pol,BPE,100000,20000,0.61
7,pol,BPE,100000,30000,0.64
8,pol,BPE,100000,40000,0.65
9,pol,BPE,100000,50000,0.69
10,pol,WPC,100000,500,0.23
11,pol,WPC,100000,1000,0.42
12,pol,WPC,100000,2500,0.51
13,pol,WPC,100000,5000,0.57
14,pol,WPC,100000,7500,0.6
15,pol,WPC,100000,10000,0.61
16,pol,WPC,100000,20000,0.65
17,pol,WPC,100000,30000,0.69
18,pol,WPC,100000,40000,0.72
19,pol,WPC,100000,50000,0.73
20,pol,UNI,100000,500,0.35
21,pol,UNI,100000,1000,0.44
22,pol,UNI,100000,2500,0.45
23,pol,UNI,100000,5000,0.51
24,pol,UNI,100000,7500,0.52
25,pol,UNI,100000,10000,0.53
26,pol,UNI,100000,20000,0.54
27,pol,UNI,100000,30000,0.54
28,pol,UNI,100000,40000,0.54
29,pol,UNI,100000,50000,0.56
