,language,algorithm,training_size,vocab_size,overlap
0,por,BPE,100000,500,0.31
1,por,BPE,100000,1000,0.42
2,por,BPE,100000,2500,0.64
3,por,BPE,100000,5000,0.74
4,por,BPE,100000,7500,0.79
5,por,BPE,100000,10000,0.82
6,por,BPE,100000,20000,0.91
7,por,BPE,100000,30000,0.93
8,por,BPE,100000,40000,0.94
9,por,BPE,100000,50000,0.94
10,por,WPC,100000,500,0.24
11,por,WPC,100000,1000,0.42
12,por,WPC,100000,2500,0.6
13,por,WPC,100000,5000,0.71
14,por,WPC,100000,7500,0.77
15,por,WPC,100000,10000,0.81
16,por,WPC,100000,20000,0.88
17,por,WPC,100000,30000,0.94
18,por,WPC,100000,40000,0.96
19,por,WPC,100000,50000,0.98
20,por,UNI,100000,500,0.28
21,por,UNI,100000,1000,0.36
22,por,UNI,100000,2500,0.48
23,por,UNI,100000,5000,0.57
24,por,UNI,100000,7500,0.59
25,por,UNI,100000,10000,0.62
26,por,UNI,100000,20000,0.65
27,por,UNI,100000,30000,0.67
28,por,UNI,100000,40000,0.71
29,por,UNI,100000,50000,0.93
