,language,algorithm,training_size,vocab_size,overlap
0,rus,BPE,100000,500,0.33
1,rus,BPE,100000,1000,0.45
2,rus,BPE,100000,2500,0.53
3,rus,BPE,100000,5000,0.59
4,rus,BPE,100000,7500,0.66
5,rus,BPE,100000,10000,0.66
6,rus,BPE,100000,20000,0.72
7,rus,BPE,100000,30000,0.76
8,rus,BPE,100000,40000,0.77
9,rus,BPE,100000,50000,0.8
10,rus,WPC,100000,500,0.07
11,rus,WPC,100000,1000,0.43
12,rus,WPC,100000,2500,0.55
13,rus,WPC,100000,5000,0.61
14,rus,WPC,100000,7500,0.67
15,rus,WPC,100000,10000,0.71
16,rus,WPC,100000,20000,0.74
17,rus,WPC,100000,30000,0.77
18,rus,WPC,100000,40000,0.81
19,rus,WPC,100000,50000,0.83
20,rus,UNI,100000,500,0.28
21,rus,UNI,100000,1000,0.4
22,rus,UNI,100000,2500,0.49
23,rus,UNI,100000,5000,0.52
24,rus,UNI,100000,7500,0.53
25,rus,UNI,100000,10000,0.54
26,rus,UNI,100000,20000,0.55
27,rus,UNI,100000,30000,0.56
28,rus,UNI,100000,40000,0.57
29,rus,UNI,100000,50000,0.58
