,language,algorithm,training_size,vocab_size,overlap
0,spa,BPE,100000,500,0.29
1,spa,BPE,100000,1000,0.39
2,spa,BPE,100000,2500,0.6
3,spa,BPE,100000,5000,0.68
4,spa,BPE,100000,7500,0.78
5,spa,BPE,100000,10000,0.82
6,spa,BPE,100000,20000,0.9
7,spa,BPE,100000,30000,0.93
8,spa,BPE,100000,40000,0.93
9,spa,BPE,100000,50000,0.95
10,spa,WPC,100000,500,0.17
11,spa,WPC,100000,1000,0.44
12,spa,WPC,100000,2500,0.63
13,spa,WPC,100000,5000,0.71
14,spa,WPC,100000,7500,0.78
15,spa,WPC,100000,10000,0.81
16,spa,WPC,100000,20000,0.93
17,spa,WPC,100000,30000,0.96
18,spa,WPC,100000,40000,0.97
19,spa,WPC,100000,50000,0.97
20,spa,UNI,100000,500,0.29
21,spa,UNI,100000,1000,0.38
22,spa,UNI,100000,2500,0.55
23,spa,UNI,100000,5000,0.66
24,spa,UNI,100000,7500,0.73
25,spa,UNI,100000,10000,0.78
26,spa,UNI,100000,20000,0.82
27,spa,UNI,100000,30000,0.82
28,spa,UNI,100000,40000,0.84
29,spa,UNI,100000,50000,0.96
