,language,algorithm,training_size,vocab_size,overlap
0,swe,BPE,100000,500,0.51
1,swe,BPE,100000,1000,0.68
2,swe,BPE,100000,2500,0.78
3,swe,BPE,100000,5000,0.85
4,swe,BPE,100000,7500,0.89
5,swe,BPE,100000,10000,0.92
6,swe,BPE,100000,20000,0.94
7,swe,BPE,100000,30000,0.97
8,swe,BPE,100000,40000,0.99
9,swe,BPE,100000,50000,0.99
10,swe,WPC,100000,500,0.49
11,swe,WPC,100000,1000,0.61
12,swe,WPC,100000,2500,0.77
13,swe,WPC,100000,5000,0.83
14,swe,WPC,100000,7500,0.88
15,swe,WPC,100000,10000,0.89
16,swe,WPC,100000,20000,0.92
17,swe,WPC,100000,30000,0.95
18,swe,WPC,100000,40000,0.99
19,swe,WPC,100000,50000,0.99
20,swe,UNI,100000,500,0.52
21,swe,UNI,100000,1000,0.65
22,swe,UNI,100000,2500,0.72
23,swe,UNI,100000,5000,0.79
24,swe,UNI,100000,7500,0.81
25,swe,UNI,100000,10000,0.81
26,swe,UNI,100000,20000,0.83
27,swe,UNI,100000,30000,0.83
28,swe,UNI,100000,40000,0.83
29,swe,UNI,100000,50000,0.86
