,Stimulus,Stdev,Subtokens
21481,snitchblasts,1.617802197617893,"[['s', '##n', '##it', '##ch', '##b', '##l', '##ast', '##s'], ['sn', '##itch', '##b', '##l', '##ast', '##s'], ['sn', '##itch', '##bl', '##asts'], ['sn', '##itch', '##bl', '##asts'], ['sn', '##itch', '##bl', '##asts'], ['snitch', '##bl', '##asts'], ['snitch', '##bl', '##asts'], ['snitch', '##bl', '##asts'], ['snitch', '##bl', '##asts']]"
2144,boothheads,1.5947444549341472,"[['b', '##o', '##ot', '##h', '##he', '##ad', '##s'], ['bo', '##oth', '##head', '##s'], ['boot', '##h', '##head', '##s'], ['booth', '##heads'], ['booth', '##head', '##s'], ['booth', '##heads'], ['booth', '##heads'], ['booth', '##heads'], ['booth', '##heads']]"
5384,dampgrade,1.5947444549341472,"[['d', '##am', '##p', '##g', '##ra', '##d', '##e'], ['dam', '##p', '##gr', '##ade'], ['dam', '##p', '##gr', '##ade'], ['damp', '##grade'], ['damp', '##grad', '##e'], ['damp', '##grade'], ['damp', '##grade'], ['damp', '##grade'], ['damp', '##grade']]"
6503,drifteys,1.5947444549341472,"[['d', '##r', '##if', '##t', '##e', '##y', '##s'], ['dr', '##ift', '##ey', '##s'], ['dr', '##ift', '##ey', '##s'], ['drift', '##eys'], ['drif', '##te', '##ys'], ['drift', '##eys'], ['drift', '##eys'], ['drift', '##eys'], ['drift', '##eys']]"
8033,flashraints,1.594744454934147,"[['f', '##l', '##as', '##h', '##ra', '##in', '##t', '##s'], ['fl', '##ash', '##ra', '##int', '##s'], ['fl', '##ash', '##rain', '##ts'], ['flash', '##rain', '##ts'], ['flash', '##rain', '##ts'], ['flash', '##rain', '##ts'], ['flash', '##rain', '##ts'], ['flash', '##rain', '##ts'], ['flash', '##rain', '##ts']]"
14464,moonscreck,1.594744454934147,"[['m', '##o', '##on', '##s', '##c', '##re', '##c', '##k'], ['m', '##oon', '##sc', '##re', '##ck'], ['m', '##oon', '##sc', '##re', '##ck'], ['moon', '##sc', '##reck'], ['moon', '##sc', '##re', '##ck'], ['moons', '##cr', '##eck'], ['moons', '##cr', '##eck'], ['moons', '##cr', '##eck'], ['moons', '##cr', '##eck']]"
20635,shrinkmess,1.594744454934147,"[['sh', '##r', '##in', '##k', '##m', '##ess'], ['sh', '##ri', '##n', '##k', '##me', '##s', '##s'], ['sh', '##ri', '##n', '##k', '##mes', '##s'], ['shrink', '##mes', '##s'], ['shrink', '##mes', '##s'], ['shrink', '##mes', '##s'], ['shrink', '##mes', '##s'], ['shrink', '##mes', '##s'], ['shrink', '##mes', '##s']]"
21766,soundtriefed,1.594744454934147,"[['so', '##un', '##d', '##t', '##r', '##ie', '##f', '##ed'], ['sound', '##t', '##ri', '##ef', '##ed'], ['sound', '##tr', '##ief', '##ed'], ['soundtr', '##ief', '##ed'], ['soundtr', '##ief', '##ed'], ['soundtr', '##ief', '##ed'], ['soundtr', '##ief', '##ed'], ['soundtr', '##ief', '##ed'], ['soundtr', '##ief', '##ed']]"
22085,splangboards,1.594744454934147,"[['sp', '##l', '##an', '##g', '##b', '##o', '##ard', '##s'], ['sp', '##l', '##ang', '##bo', '##ards'], ['spl', '##ang', '##board', '##s'], ['spl', '##ang', '##boards'], ['spl', '##ang', '##boards'], ['spl', '##ang', '##boards'], ['spl', '##ang', '##boards'], ['spl', '##ang', '##boards'], ['spl', '##ang', '##boards']]"
23432,sweetfoots,1.594744454934147,"[['s', '##w', '##e', '##et', '##f', '##o', '##ot', '##s'], ['swe', '##et', '##f', '##oot', '##s'], ['sweet', '##f', '##oot', '##s'], ['sweet', '##foot', '##s'], ['sweet', '##foot', '##s'], ['sweet', '##foot', '##s'], ['sweet', '##foot', '##s'], ['sweet', '##foot', '##s'], ['sweet', '##foot', '##s']]"
3199,caughtness,1.5713484026367723,"[['c', '##a', '##u', '##gh', '##t', '##n', '##ess'], ['caught', '##ness'], ['caught', '##ness'], ['caught', '##ness'], ['caught', '##ness'], ['caught', '##ness'], ['caught', '##ness'], ['caught', '##ness'], ['caught', '##ness']]"
19734,schoolsops,1.5713484026367723,"[['sc', '##h', '##o', '##ol', '##so', '##p', '##s'], ['schools', '##ops'], ['schools', '##ops'], ['schools', '##ops'], ['schools', '##ops'], ['schools', '##ops'], ['schools', '##ops'], ['schools', '##ops'], ['schools', '##ops']]"
