,subtoken,count
0,glu,92
1,mac,665
2,chor,172
3,r,43000
4,s,155479
5,w,14084
6,-,127485
7,even,265
8,t,74275
9,u,20813
10,bit,543
11,ar,8867
12,on,23985
13,witch,58
14,a,108694
15,er,8000
16,language,188
17,bian,125
18,ang,1049
19,ed,15591
20,m,33765
21,prison,38
22,school,289
23,to,10358
24,word,281
25,quad,54
26,ula,396
27,be,6903
28,nov,251
29,mir,650
30,junction,22
31,triple,79
32,o,75583
33,d,75394
34,b,32121
35,ologne,12
36,i,73314
37,",",10267
38,263,20
39,000,2070
40,player,117
41,ling,881
42,in,27230
43,front,257
44,tak,306
45,h,31218
46,ver,1833
47,42,468
48,.,33014
49,58,441
50,520,31
51,8,2523
52,ramen,20
53,c,27604
54,ultra,298
55,liberal,88
56,p,29727
57,rem,235
58,can,2280
59,n,62436
60,bio,747
61,photo,363
62,able,2041
63,commercial,51
64,iz,573
65,e,90245
66,ach,1216
67,brand,279
68,ied,462
69,arch,368
70,logical,76
71,late,401
72,akh,377
73,al,11444
74,19,3414
75,54,392
76,of,2338
77,l,35070
78,g,22840
79,print,207
80,ing,15420
81,finger,131
82,say,337
83,k,25183
84,ami,720
85,65,523
86,45,807
87,mpson,54
88,fellow,61
89,prisoner,14
90,ntagon,9
91,well,1278
92,an,21167
93,mal,898
94,absor,15
95,ption,42
96,lev,297
97,repair,31
98,un,6515
99,uke,208
100,0,1570
101,40,772
102,self,1347
103,reported,26
104,off,1477
105,send,105
106,uri,412
107,ban,890
108,wax,51
109,hatche,22
110,cal,978
111,he,5126
112,ge,2588
113,fade,33
114,als,563
115,feud,25
116,ly,8916
117,faithful,10
118,3,4443
119,110,148
120,im,2109
121,arc,374
122,at,9643
123,guru,101
124,ón,564
125,ger,727
126,swab,11
127,calle,61
128,hil,298
129,khand,50
130,oyle,48
131,door,126
132,ma,5017
133,am,4216
134,ber,1968
135,horse,188
136,men,1831
137,meat,98
138,puppet,67
139,nam,313
140,ze,1248
141,black,525
142,burne,53
143,is,16864
144,pol,464
145,million,285
146,5,3636
147,letter,121
148,cha,1442
149,ner,1050
150,county,63
151,cross,654
152,mil,653
153,ć,1157
154,201,603
155,clandestine,5
156,behind,31
157,pur,763
158,til,230
159,ax,437
160,all,2700
161,y,42509
162,ut,2147
163,accept,57
164,rights,80
165,relate,1175
166,our,999
167,heli,92
168,this,251
169,11,1298
170,200,2385
171,9,2448
172,01,511
173,ö,1463
174,rich,829
175,1,5862
176,56,484
177,reign,24
178,41,400
179,34,552
180,pro,2020
181,abortion,23
182,bar,2124
183,me,3779
184,ch,4789
185,cut,415
186,power,497
187,wack,52
188,pedia,381
189,online,69
190,le,5873
191,ven,614
192,rij,137
193,use,1010
194,mic,485
195,key,471
196,iness,337
197,frost,50
198,chman,63
199,cri,220
200,pack,148
201,grade,165
202,age,852
203,229,25
204,kin,889
205,gen,851
206,ation,1045
207,ran,1467
208,pri,449
209,v,10876
210,track,232
211,maker,326
212,gold,365
213,f,25618
214,pos,290
215,70,583
216,7,2947
217,ng,2108
218,kara,422
219,any,550
220,ier,1363
221,col,597
222,constituenc,5
223,logist,27
224,curr,93
225,10,1796
226,ki,2499
227,wit,237
228,л,342
229,е,1150
230,о,1402
231,с,913
232,onic,296
233,trans,558
234,heavy,107
235,synth,28
236,go,3193
237,shut,50
238,han,1922
239,pet,637
240,mountain,60
241,size,418
242,yder,49
243,gate,384
244,ugl,43
245,we,2778
246,ha,5652
247,borg,212
248,run,709
249,way,605
250,ington,407
251,ports,36
252,rish,126
253,punk,107
254,gram,314
255,20,1663
256,46,514
257,atz,129
258,iddle,33
259,re,13236
260,employe,18
261,pla,287
262,pants,36
263,or,9562
264,boom,88
265,bust,68
266,aid,837
267,ul,1055
268,boat,158
269,shape,313
270,metaboli,29
271,zing,371
272,drug,159
273,coverup,2
274,wa,2526
275,ce,2150
276,extra,207
277,جلال,1
278,legend,26
279,ffen,54
280,gra,554
281,ried,219
282,top,841
283,rov,384
284,amid,149
285,per,2757
286,ca,3192
287,mark,496
288,th,6077
289,67,426
290,4,3902
291,bal,742
292,trade,129
293,us,8053
294,chester,85
295,ville,1194
296,uka,261
297,birt,15
298,gav,187
299,end,1301
300,jo,1509
301,ules,43
302,oxygen,68
303,brain,184
304,broad,160
305,put,359
306,exclaim,6
307,super,948
308,ulation,60
309,pie,320
310,kind,169
311,forme,72
312,ic,2836
313,iped,19
314,free,919
315,man,7183
316,wil,438
317,far,808
318,penn,156
319,thing,164
320,gers,126
321,ten,1036
322,cinna,30
323,mom,179
324,hild,72
325,con,1533
326,it,6654
327,szcz,75
328,ń,182
329,half,598
330,height,34
331,bel,692
332,buil,113
333,264,25
334,mass,345
335,produce,73
336,x,4344
337,lose,51
338,line,1141
339,semi,647
340,pizz,31
341,mont,907
342,van,911
343,coni,51
344,stri,76
345,are,2292
346,land,1593
347,fairy,23
348,farming,14
349,sheep,48
350,tic,788
351,psycho,147
352,single,415
353,mother,108
354,gam,489
355,tha,1416
356,bank,416
357,var,628
358,qual,71
359,bay,368
360,saw,218
361,ter,1234
362,linck,12
363,shield,40
364,pot,302
365,enko,185
366,cris,150
367,raj,401
368,hi,2890
369,and,6886
370,ball,659
371,pu,839
372,vis,509
373,smil,33
374,z,7517
375,ensur,7
376,kit,315
377,pan,741
378,ur,2887
379,him,683
380,journalist,17
381,adde,147
382,ales,209
383,cel,219
384,cca,155
385,755,13
386,ovich,208
387,mad,748
388,scientist,39
389,zz,119
390,synerg,9
391,ogg,68
392,urling,15
393,had,916
394,ourne,116
395,32,544
396,84,381
397,69,398
398,lix,50
399,mor,1262
400,got,357
401,å,315
402,stir,37
403,opener,11
404,series,118
405,atomic,34
406,near,315
407,cer,525
408,unting,69
409,pong,61
410,rian,390
411,system,205
412,سا,7
413,ن,610
414,فر,1
415,formulation,6
416,cur,303
417,escu,131
418,quadri,32
419,achi,194
420,his,853
421,lib,297
422,vir,261
423,51,425
424,1961,47
425,ies,2057
426,franc,317
427,micro,804
428,nation,247
429,2,5239
430,airplane,7
431,hous,104
432,onian,264
433,par,1425
434,ik,1252
435,5000,36
436,ley,1510
437,moot,17
438,anti,2270
439,je,1612
440,mortal,14
441,smolder,5
442,ludi,19
443,awarde,14
444,hang,266
445,fixe,90
446,format,111
447,ace,492
448,zag,106
449,raki,87
450,orient,355
451,alé,27
452,year,804
453,120,163
454,wan,682
455,drum,120
456,éma,37
457,ique,283
458,ograph,180
459,like,1433
460,kiwi,23
461,cable,80
462,pay,375
463,rom,869
464,',2358
465,itali,101
466,008,21
467,jay,227
468,iv,385
