,Stimulus,Stdev,Subtokens
30322,chaquerófalo,2.0548046676563256,"[['c', '##h', '##a', '##que', '##r', '##ó', '##f', '##al', '##o'], ['ch', '##a', '##quer', '##ó', '##fa', '##lo'], ['ch', '##a', '##quer', '##ó', '##fa', '##lo'], ['chaque', '##róf', '##alo'], ['chaque', '##róf', '##alo'], ['chaque', '##róf', '##alo'], ['chaque', '##róf', '##alo'], ['chaque', '##róf', '##alo'], ['chaque', '##róf', '##alo']]"
21393,naolatoxylon,1.8856180831641267,"[['n', '##a', '##ol', '##at', '##o', '##x', '##y', '##lo', '##n'], ['n', '##a', '##ola', '##to', '##x', '##y', '##lo', '##n'], ['n', '##a', '##ola', '##to', '##x', '##y', '##lo', '##n'], ['na', '##ola', '##to', '##xy', '##lon'], ['n', '##a', '##ola', '##to', '##xy', '##lo', '##n'], ['na', '##ola', '##tox', '##ylon'], ['na', '##ola', '##tox', '##ylon'], ['na', '##ola', '##tox', '##ylon'], ['na', '##ola', '##to', '##xy', '##lon']]"
46667,texpiársente,1.8257418583505538,"[['te', '##x', '##p', '##i', '##á', '##r', '##se', '##n', '##te'], ['te', '##x', '##p', '##i', '##ár', '##se', '##n', '##te'], ['tex', '##p', '##i', '##ár', '##sen', '##te'], ['tex', '##pi', '##árs', '##ente'], ['tex', '##p', '##i', '##árs', '##ente'], ['tex', '##pi', '##árs', '##ente'], ['tex', '##pi', '##árs', '##ente'], ['tex', '##pi', '##árs', '##ente'], ['tex', '##pi', '##árs', '##ente']]"
19690,hotbotizante,1.7916128329552332,"[['h', '##o', '##t', '##b', '##o', '##ti', '##za', '##n', '##te'], ['ho', '##t', '##bo', '##tiz', '##ante'], ['ho', '##t', '##bo', '##tiza', '##n', '##te'], ['ho', '##t', '##bot', '##izante'], ['ho', '##t', '##bo', '##tiza', '##n', '##te'], ['hot', '##bot', '##izante'], ['hot', '##bot', '##izante'], ['ho', '##t', '##bot', '##izante'], ['ho', '##t', '##bot', '##izante']]"
31532,chebiralismo,1.7638342073763937,"[['c', '##h', '##e', '##bi', '##ra', '##li', '##s', '##mo'], ['ch', '##eb', '##ira', '##li', '##s', '##mo'], ['ch', '##eb', '##ira', '##li', '##s', '##mo'], ['che', '##bir', '##alismo'], ['che', '##bi', '##ral', '##ismo'], ['che', '##bir', '##alismo'], ['che', '##bir', '##alismo'], ['che', '##bir', '##alismo'], ['che', '##bir', '##alismo']]"
1447,welkuakchia,1.7638342073763935,"[['w', '##el', '##k', '##u', '##a', '##k', '##ch', '##ia'], ['w', '##el', '##k', '##u', '##a', '##k', '##ch', '##ia'], ['w', '##el', '##k', '##u', '##a', '##k', '##chi', '##a'], ['w', '##el', '##ku', '##ak', '##chia'], ['w', '##el', '##ku', '##ak', '##chi', '##a'], ['wel', '##ku', '##ak', '##chia'], ['wel', '##ku', '##ak', '##chia'], ['wel', '##ku', '##ak', '##chia'], ['wel', '##ku', '##ak', '##chia']]"
35085,fragnógrafo,1.7284832429004493,"[['f', '##ra', '##g', '##n', '##ó', '##gra', '##f', '##o'], ['fr', '##ag', '##n', '##óg', '##ra', '##fo'], ['fra', '##gn', '##óg', '##ra', '##fo'], ['frag', '##nó', '##grafo'], ['frag', '##nó', '##grafo'], ['frag', '##nó', '##grafo'], ['frag', '##nó', '##grafo'], ['frag', '##nó', '##grafo'], ['frag', '##nó', '##grafo']]"
51700,cemnantista,1.7284832429004493,"[['c', '##e', '##m', '##n', '##an', '##ti', '##st', '##a'], ['c', '##em', '##na', '##n', '##tis', '##ta'], ['ce', '##m', '##na', '##n', '##tista'], ['cem', '##nan', '##tista'], ['cem', '##nan', '##tista'], ['cem', '##nan', '##tista'], ['cem', '##nan', '##tista'], ['cem', '##nan', '##tista'], ['cem', '##nan', '##tista']]"
26355,troncoréneco,1.7069212773041353,"[['t', '##ro', '##n', '##co', '##r', '##én', '##ec', '##o'], ['tro', '##n', '##co', '##r', '##én', '##ec', '##o'], ['tro', '##n', '##cor', '##én', '##eco'], ['tron', '##cor', '##én', '##eco'], ['tron', '##cor', '##én', '##eco'], ['tronco', '##rén', '##eco'], ['tronco', '##rén', '##eco'], ['tronco', '##rén', '##eco'], ['tron', '##cor', '##én', '##eco']]"
34785,hotbotizador,1.699673171197595,"[['h', '##o', '##t', '##b', '##o', '##ti', '##za', '##do', '##r'], ['ho', '##t', '##bo', '##tiz', '##ador'], ['ho', '##t', '##bo', '##tiza', '##dor'], ['ho', '##t', '##bot', '##izador'], ['ho', '##t', '##bo', '##tizado', '##r'], ['hot', '##bot', '##izador'], ['hot', '##bot', '##izador'], ['ho', '##t', '##bot', '##izador'], ['ho', '##t', '##bot', '##izador']]"
37324,ultrapiodeza,1.699673171197595,"[['u', '##l', '##tra', '##p', '##io', '##de', '##za'], ['u', '##l', '##tra', '##p', '##io', '##dez', '##a'], ['ul', '##tra', '##p', '##io', '##dez', '##a'], ['ultra', '##pio', '##deza'], ['ultra', '##pio', '##dez', '##a'], ['ultra', '##pio', '##deza'], ['ultra', '##pio', '##deza'], ['ultra', '##pio', '##deza'], ['ultra', '##pio', '##deza']]"
49202,discontinips,1.699673171197595,"[['dis', '##con', '##ti', '##n', '##i', '##p', '##s'], ['disc', '##on', '##tin', '##ip', '##s'], ['disco', '##n', '##tin', '##ip', '##s'], ['disco', '##n', '##tini', '##ps'], ['disco', '##n', '##tin', '##ips'], ['discontin', '##ips'], ['discontin', '##ips'], ['discontin', '##ips'], ['discontin', '##ips']]"
35063,prehispérico,1.6850834320114558,"[['pre', '##h', '##is', '##p', '##ér', '##ico'], ['pre', '##h', '##is', '##p', '##ér', '##ico'], ['pre', '##hi', '##s', '##p', '##ér', '##ico'], ['preh', '##isp', '##érico'], ['pre', '##hi', '##sp', '##érico'], ['prehisp', '##érico'], ['prehisp', '##érico'], ['prehisp', '##érico'], ['preh', '##isp', '##érico']]"
13824,osciróplaxo,1.6850834320114556,"[['o', '##s', '##ci', '##r', '##ó', '##p', '##la', '##x', '##o'], ['os', '##ci', '##ró', '##pl', '##a', '##x', '##o'], ['osc', '##ir', '##óp', '##la', '##x', '##o'], ['osci', '##ró', '##pla', '##xo'], ['osci', '##ró', '##pl', '##ax', '##o'], ['osci', '##ró', '##pla', '##xo'], ['osci', '##ró', '##pla', '##xo'], ['osci', '##ró', '##pla', '##xo'], ['osci', '##ró', '##pla', '##xo']]"
50041,opsaltología,1.6629588385661962,"[['op', '##s', '##al', '##to', '##lo', '##g', '##ía'], ['op', '##sa', '##l', '##to', '##lo', '##g', '##ía'], ['op', '##sa', '##l', '##to', '##logía'], ['op', '##sal', '##tología'], ['op', '##sal', '##tología'], ['op', '##sal', '##tología'], ['op', '##sal', '##tología'], ['op', '##sal', '##tología'], ['op', '##sal', '##tología']]"
12226,fluisirugía,1.640535895581489,"[['f', '##l', '##u', '##is', '##ir', '##u', '##g', '##ía'], ['f', '##lu', '##is', '##ir', '##ug', '##ía'], ['flu', '##is', '##ir', '##ug', '##ía'], ['flu', '##isi', '##ru', '##gía'], ['flu', '##is', '##ir', '##ug', '##ía'], ['flu', '##isi', '##rugía'], ['flu', '##isi', '##rugía'], ['flu', '##isi', '##rugía'], ['flu', '##isi', '##rugía']]"
47746,hebendario,1.640535895581489,"[['h', '##e', '##b', '##en', '##da', '##ri', '##o'], ['he', '##be', '##n', '##dar', '##io'], ['he', '##be', '##n', '##dar', '##io'], ['he', '##ben', '##dario'], ['he', '##ben', '##dario'], ['heb', '##endario'], ['heb', '##endario'], ['heb', '##endario'], ['heb', '##enda', '##rio']]"
36627,homosexops,1.632993161855452,"[['h', '##om', '##os', '##e', '##x', '##o', '##p', '##s'], ['hom', '##os', '##ex', '##op', '##s'], ['hom', '##os', '##ex', '##op', '##s'], ['homosex', '##op', '##s'], ['homosex', '##op', '##s'], ['homosex', '##op', '##s'], ['homosex', '##op', '##s'], ['homosex', '##op', '##s'], ['homosex', '##op', '##s']]"
41557,hopógrafo,1.632993161855452,"[['h', '##o', '##p', '##ó', '##gra', '##f', '##o'], ['ho', '##p', '##óg', '##ra', '##fo'], ['ho', '##pó', '##graf', '##o'], ['ho', '##pó', '##grafo'], ['ho', '##pó', '##grafo'], ['hop', '##ógrafo'], ['hop', '##ógrafo'], ['hop', '##ógrafo'], ['hop', '##ógrafo']]"
41997,hemibrófeco,1.632993161855452,"[['h', '##e', '##mi', '##b', '##r', '##ó', '##f', '##ec', '##o'], ['he', '##mi', '##br', '##ó', '##fe', '##co'], ['he', '##mi', '##br', '##ó', '##fe', '##co'], ['hem', '##ib', '##róf', '##eco'], ['hem', '##ib', '##róf', '##eco'], ['hem', '##ib', '##róf', '##eco'], ['hem', '##ib', '##róf', '##eco'], ['hem', '##ib', '##róf', '##eco'], ['hem', '##ib', '##róf', '##eco']]"
48040,neuropaslogo,1.632993161855452,"[['n', '##e', '##ur', '##o', '##pa', '##s', '##lo', '##go'], ['ne', '##uro', '##pas', '##lo', '##go'], ['neu', '##rop', '##as', '##lo', '##go'], ['neuro', '##pas', '##logo'], ['neuro', '##pas', '##logo'], ['neuro', '##pas', '##logo'], ['neuro', '##pas', '##logo'], ['neuro', '##pas', '##logo'], ['neuro', '##pas', '##logo']]"
11674,neuvastóneco,1.617802197617893,"[['n', '##e', '##u', '##v', '##as', '##tó', '##n', '##ec', '##o'], ['ne', '##uv', '##as', '##tó', '##ne', '##co'], ['neu', '##vas', '##tón', '##eco'], ['neu', '##vas', '##tón', '##eco'], ['neu', '##vas', '##tón', '##eco'], ['neu', '##vas', '##tón', '##eco'], ['neu', '##vas', '##tón', '##eco'], ['neu', '##vas', '##tón', '##eco'], ['neu', '##vas', '##tón', '##eco']]"
