,Stimulus,Stdev,Subtokens
25005,archipiélago,2.70801280154532,"[['ar', '##ch', '##i', '##p', '##i', '##é', '##la', '##go'], ['ar', '##ch', '##ip', '##i', '##él', '##ag', '##o'], ['arch', '##ip', '##ié', '##la', '##go'], ['archipiélago'], ['arch', '##ipiélago'], ['archipiélago'], ['archipiélago'], ['archipiélago'], ['archipiélago']]"
7326,psiquiátrico,2.5579698740491863,"[['p', '##s', '##i', '##qu', '##i', '##á', '##tr', '##ico'], ['ps', '##i', '##qui', '##át', '##ric', '##o'], ['ps', '##i', '##qui', '##átr', '##ico'], ['psiquiátrico'], ['psiquiátr', '##ico'], ['psiquiátrico'], ['psiquiátrico'], ['psiquiátrico'], ['psiquiátrico']]"
13633,guatemalteco,2.5579698740491863,"[['g', '##u', '##at', '##e', '##ma', '##l', '##te', '##co'], ['gu', '##ate', '##ma', '##l', '##tec', '##o'], ['gu', '##atem', '##al', '##tec', '##o'], ['guatemalteco'], ['guatemaltec', '##o'], ['guatemalteco'], ['guatemalteco'], ['guatemalteco'], ['guatemalteco']]"
6834,farmacéutica,2.4944382578492945,"[['f', '##ar', '##ma', '##c', '##é', '##ut', '##ica'], ['f', '##ar', '##ma', '##c', '##é', '##ut', '##ica'], ['far', '##mac', '##éut', '##ica'], ['farmacéutica'], ['farmacéutica'], ['farmacéutica'], ['farmacéutica'], ['farmacéutica'], ['farmacéutica']]"
38575,espeluznante,2.469567863432541,"[['esp', '##el', '##u', '##z', '##n', '##ante'], ['esp', '##el', '##u', '##z', '##na', '##n', '##te'], ['esp', '##el', '##u', '##z', '##na', '##n', '##te'], ['espe', '##lu', '##z', '##nan', '##te'], ['esp', '##el', '##uz', '##nan', '##te'], ['espeluznante'], ['espeluznante'], ['espeluznante'], ['espeluzn', '##ante']]"
18657,farmacéutico,2.4393887111222385,"[['f', '##ar', '##ma', '##c', '##é', '##ut', '##ico'], ['f', '##ar', '##ma', '##c', '##é', '##ut', '##ico'], ['far', '##mac', '##éut', '##ico'], ['farmacéutico'], ['farmacéut', '##ico'], ['farmacéutico'], ['farmacéutico'], ['farmacéutico'], ['farmacéutico']]"
45076,guatemalteca,2.4241582476968255,"[['g', '##u', '##at', '##e', '##ma', '##l', '##te', '##ca'], ['gu', '##ate', '##ma', '##l', '##tec', '##a'], ['gu', '##atem', '##al', '##teca'], ['guatemaltec', '##a'], ['guatemaltec', '##a'], ['guatemalteca'], ['guatemalteca'], ['guatemalteca'], ['guatemalteca']]"
32430,atmósfera,2.4037008503093262,"[['a', '##t', '##m', '##ó', '##s', '##fer', '##a'], ['at', '##m', '##ó', '##s', '##fer', '##a'], ['at', '##mó', '##s', '##fer', '##a'], ['atmósfera'], ['atmósfera'], ['atmósfera'], ['atmósfera'], ['atmósfera'], ['atmósfera']]"
30586,pirotécnico,2.3934065809486684,"[['p', '##ir', '##o', '##t', '##é', '##c', '##n', '##ico'], ['p', '##iro', '##t', '##écn', '##ico'], ['p', '##iro', '##té', '##c', '##ni', '##co'], ['piro', '##técn', '##ico'], ['pi', '##ro', '##té', '##c', '##ni', '##co'], ['pirotécnico'], ['pirotécnico'], ['pirotécn', '##ico'], ['pirotécn', '##ico']]"
36695,longitudinal,2.3778816176702997,"[['lo', '##n', '##g', '##itu', '##di', '##n', '##al'], ['lo', '##n', '##g', '##itu', '##di', '##na', '##l'], ['lo', '##n', '##g', '##itud', '##inal'], ['longitud', '##inal'], ['longitud', '##inal'], ['longitudinal'], ['longitudinal'], ['longitudinal'], ['longitud', '##inal']]"
3283,chihuahua,2.3306863292670035,"[['c', '##h', '##i', '##h', '##u', '##a', '##h', '##u', '##a'], ['ch', '##i', '##hua', '##hua'], ['ch', '##i', '##huahua'], ['chi', '##huahua'], ['chi', '##huahua'], ['chihuahua'], ['chihuahua'], ['chihua', '##hua'], ['chihua', '##hua']]"
2211,beneplácito,2.298684540619689,"[['b', '##en', '##e', '##p', '##l', '##á', '##ci', '##to'], ['bene', '##pl', '##ác', '##ito'], ['bene', '##pl', '##ác', '##ito'], ['beneplácito'], ['bene', '##pl', '##ác', '##ito'], ['beneplácito'], ['beneplácito'], ['beneplácito'], ['beneplácito']]"
10313,narcotráfico,2.2986845406196887,"[['n', '##ar', '##co', '##tr', '##á', '##f', '##ico'], ['nar', '##co', '##tr', '##á', '##fic', '##o'], ['narcotráfico'], ['narcotráfico'], ['narcotráfico'], ['narcotráfico'], ['narcotráfico'], ['narcotráfico'], ['narcotráfico']]"
42546,odontología,2.282515398241571,"[['o', '##do', '##n', '##to', '##lo', '##g', '##ía'], ['o', '##do', '##n', '##to', '##lo', '##g', '##ía'], ['o', '##don', '##to', '##logía'], ['odon', '##tología'], ['o', '##don', '##tología'], ['odontología'], ['odontología'], ['odontología'], ['odon', '##tología']]"
7960,omnipresente,2.2662308949301266,"[['o', '##m', '##n', '##i', '##p', '##res', '##ente'], ['o', '##m', '##n', '##ip', '##res', '##ente'], ['o', '##m', '##ni', '##pre', '##sen', '##te'], ['om', '##nip', '##resent', '##e'], ['om', '##ni', '##pres', '##ente'], ['omnipresente'], ['omnipresente'], ['omnipresente'], ['omnipres', '##ente']]"
19543,egiptología,2.2662308949301266,"[['e', '##g', '##i', '##p', '##to', '##lo', '##g', '##ía'], ['e', '##g', '##ip', '##to', '##lo', '##g', '##ía'], ['e', '##gip', '##to', '##logía'], ['egip', '##tología'], ['egip', '##tología'], ['egip', '##tología'], ['egip', '##tología'], ['egip', '##tología'], ['egip', '##tología']]"
11736,fructífero,2.23330569358242,"[['f', '##ru', '##c', '##t', '##í', '##fer', '##o'], ['fru', '##c', '##t', '##íf', '##ero'], ['fru', '##c', '##t', '##íf', '##ero'], ['fruct', '##ífero'], ['fru', '##c', '##t', '##íf', '##ero'], ['fructífero'], ['fructífero'], ['fructífero'], ['fructífero']]"
10143,frigorífico,2.211083193570267,"[['f', '##ri', '##go', '##r', '##í', '##f', '##ico'], ['fr', '##ig', '##or', '##íf', '##ico'], ['fr', '##igo', '##rí', '##fic', '##o'], ['frigorífico'], ['frigor', '##ífico'], ['frigorífico'], ['frigorífico'], ['frigorífico'], ['frigorífico']]"
18808,londinense,2.211083193570267,"[['lo', '##n', '##di', '##n', '##ens', '##e'], ['lo', '##n', '##di', '##ne', '##n', '##se'], ['lo', '##n', '##di', '##ne', '##n', '##se'], ['lond', '##inense'], ['lon', '##din', '##ense'], ['londinense'], ['londinense'], ['londinense'], ['londinense']]"
38769,bachillerato,2.211083193570267,"[['b', '##ac', '##h', '##il', '##le', '##ra', '##to'], ['ba', '##ch', '##ill', '##era', '##to'], ['ba', '##chi', '##l', '##ler', '##ato'], ['bachillerato'], ['ba', '##chillerato'], ['bachillerato'], ['bachillerato'], ['bachillerato'], ['bachillerato']]"
15236,salvaguardar,2.199887763691481,"[['sal', '##v', '##a', '##gu', '##ar', '##da', '##r'], ['sal', '##va', '##gua', '##r', '##dar'], ['salv', '##ag', '##u', '##ard', '##ar'], ['salvaguardar'], ['salva', '##guar', '##dar'], ['salvaguardar'], ['salvaguardar'], ['salvaguardar'], ['salvaguardar']]"
