,subtoken,count
0,glu,104
1,mac,1087
2,án,9465
3,jur,414
4,a,258746
5,s,259463
6,chor,367
7,r,69804
8,bit,745
9,ar,27106
10,on,29824
11,o,194344
12,ism,1969
13,i,156580
14,ber,3240
15,/,11440
16,metro,526
17,bus,977
18,clinic,13
19,may,902
20,but,633
21,zi,998
22,brid,116
23,je,2797
24,g,30050
25,his,1608
26,ang,1185
27,ed,7297
28,m,41887
29,at,16134
30,jer,917
31,t,112736
32,p,43415
33,f,38322
34,_,6393
35,ak,1414
36,up,3457
37,l,58599
38,d,117608
39,sensib,42
40,e,173949
41,ón,13154
42,c,46882
43,iza,2824
44,ula,1193
45,be,9274
46,lov,700
47,nov,383
48,mir,1170
49,gran,557
50,lot,1160
51,z,10974
52,v,13700
53,n,90829
54,iberia,45
55,ju,2370
56,an,38096
57,b,44711
58,ologne,16
59,ran,2418
60,que,3098
61,molest,74
62,in,47094
63,front,209
64,tap,355
65,ide,2665
66,%,1019
67,y,45274
68,der,1320
69,hegemon,14
70,structur,118
71,tak,327
72,h,33232
73,not,1441
74,é,10817
75,ultra,266
76,liberal,64
77,ca,9820
78,}},2695
79,lan,2045
80,shak,91
81,u,36476
82,aku,451
83,raz,780
84,uch,1402
85,uji,336
86,rem,344
87,talker,9
88,sky,981
89,ach,2324
90,vill,237
91,á,11824
92,disput,56
93,flora,250
94,cut,674
95,arch,483
96,logical,16
97,akh,260
98,al,19144
99,ja,3238
100,pur,744
101,of,3633
102,button,25
103,next,41
104,ll,3624
105,my,1870
106,oku,444
107,ing,5504
108,ami,2087
109,",",2812
110,null,23
111,mpson,45
112,gon,1062
113,melan,281
114,ntagon,16
115,all,3323
116,aq,402
117,hospita,4
118,is,31792
119,í,9401
120,ch,6569
121,uke,279
122,mal,1515
123,absor,23
124,ption,9
125,lev,615
126,us,16019
127,lac,685
128,un,5251
129,cas,3155
130,oles,560
131,advi,39
132,uri,1043
133,ban,3040
134,cal,2792
135,tim,681
136,rí,3346
137,rom,2045
138,corp,195
139,uru,780
140,he,6220
141,ge,3699
142,fade,35
143,ly,3553
144,faithful,9
145,ñ,2160
146,to,24369
147,anti,2318
148,acion,1563
149,ulcer,30
150,kisk,13
151,fund,531
152,im,3696
153,quin,926
154,dec,523
155,go,5329
156,ú,3411
157,jo,3011
158,guru,94
159,arc,953
160,rath,111
161,ger,1091
162,chen,414
163,vo,2830
164,rash,109
165,swab,7
166,ré,2492
167,studi,106
168,span,220
169,cre,746
170,tic,4452
171,art,1532
172,hil,354
173,khand,24
174,ma,8041
175,mor,2690
176,gul,280
177,horse,40
178,men,3040
179,meat,29
180,puppet,13
181,hangar,6
182,nam,342
183,ze,1592
184,can,5625
185,black,298
186,burne,41
187,ru,2044
188,ín,2322
189,and,10141
190,»,17520
191,her,2713
192,star,899
193,cam,1213
194,it,12207
195,le,9903
196,wer,346
197,ix,1271
198,sub,2301
199,stil,229
200,ul,1894
201,ez,1963
202,clar,279
203,er,12520
204,ador,2270
205,bot,704
206,biz,133
207,letter,43
208,ö,2559
209,j,6393
210,mil,1057
211,ć,1185
212,tric,799
213,imé,141
214,k,26353
215,ell,2060
216,plan,640
217,rent,546
218,clandestine,2
219,w,7941
220,under,212
221,ur,5113
222,lept,356
223,styl,94
224,til,738
225,ax,832
226,country,27
227,pop,589
228,genera,153
229,heli,206
230,this,125
231,accept,13
232,jar,1162
233,comple,56
234,rich,1114
235,lé,1220
236,reign,20
237,am,5209
238,bar,3497
239,me,6020
240,dire,1626
241,merc,331
242,#,3900
243,re,25482
244,orde,368
245,cilla,172
246,derb,34
247,ude,298
248,ō,1759
249,ichi,405
250,chman,52
251,auto,1511
252,cé,711
253,pack,59
254,ó,13171
255,ic,8587
256,nique,105
257,œ,104
258,cum,811
259,gray,74
260,arne,137
261,eld,177
262,contempor,35
263,kov,672
264,mache,88
265,ng,2096
266,kara,390
267,any,558
268,tellar,48
269,or,18506
270,col,1532
271,interfer,37
272,end,3067
273,constituenc,3
274,gu,4226
275,ifer,426
276,logist,9
277,ozo,240
278,curr,248
279,via,1349
280,grap,48
281,ki,3186
282,wit,221
283,osaur,437
284,л,389
285,е,1187
286,о,1423
287,с,975
288,onic,310
289,trans,901
290,x,6355
291,\,2446
292,rac,1273
293,},195
294,dark,128
295,khak,14
296,dish,50
297,aster,353
298,alon,126
299,han,1783
300,pet,1163
301,shut,43
302,yder,52
303,hi,4932
304,miner,79
305,bio,1069
306,cor,2580
307,had,1041
308,cris,581
309,him,814
310,run,774
311,way,328
312,institut,50
313,hile,252
314,ington,223
315,rais,122
316,alone,64
317,zak,229
318,za,3613
319,bal,1420
320,stric,78
321,one,5713
322,cle,682
323,ritis,69
324,pies,54
325,bald,296
326,ram,758
327,federal,51
328,atz,182
329,narrat,8
330,par,3059
331,aliz,524
332,gymnasium,7
333,sport,273
334,ár,1751
335,gui,1542
336,mug,115
337,tra,2388
338,guard,354
339,aid,628
340,ace,1467
341,mura,219
342,oil,163
343,qu,1252
344,ál,747
345,gra,1880
346,coverup,1
347,ither,54
348,media,399
349,multi,674
350,aña,990
351,جلال,1
352,top,1162
353,rov,622
354,ffen,76
355,ried,279
356,mark,383
357,lico,538
358,mul,327
359,cartel,34
360,parmes,4
361,ex,2453
362,pas,1116
363,lik,458
364,quint,149
365,chester,62
366,ville,1820
367,ular,625
368,medi,397
369,ía,7516
370,¿,972
371,gav,285
372,ules,68
373,masc,104
374,let,1135
375,à,1117
376,vil,779
377,ravag,27
378,gene,192
379,ccio,363
380,lim,433
381,pie,481
382,kind,105
383,ebri,96
384,urg,322
385,nick,173
386,lí,1527
387,forme,521
388,iped,15
389,heroic,13
390,atic,266
391,hat,696
392,ince,109
393,gers,129
394,ten,2228
395,ella,1792
396,ver,3570
397,ric,1814
398,qui,2611
399,cinna,42
400,mom,287
401,geographic,16
402,ers,1149
403,co,9327
404,hild,107
405,lava,297
406,ape,135
407,szcz,65
408,ń,236
409,vin,887
410,eña,1105
411,sens,234
412,bur,900
413,ling,789
414,ß,355
415,bel,1080
416,enti,321
417,onna,148
418,hü,152
419,feld,316
420,gel,520
421,gloss,211
422,centr,374
423,lang,411
424,barra,239
425,brough,21
426,middle,48
427,pal,1092
428,aul,167
429,disc,259
430,mos,3316
431,¡,901
432,censu,51
433,mont,2145
434,van,1186
435,pizz,42
436,coni,137
437,stri,251
438,վանք,1
439,inter,1324
440,continent,64
441,—,3372
442,amid,232
443,are,4437
444,adium,57
445,rabi,175
446,psycho,64
447,care,465
448,ἐχῖνος,1
449,abad,221
450,cord,448
451,ement,422
452,bank,233
453,ha,6718
454,ense,1489
455,gue,776
456,var,1112
457,ce,5218
458,qual,68
459,mag,667
460,war,754
461,bay,398
462,saw,130
463,rig,790
464,per,6070
465,stra,707
466,pot,453
467,enko,238
468,ku,920
469,ski,1617
470,zew,89
471,soul,157
472,medal,50
473,ball,546
474,pol,923
475,vis,731
476,smil,54
477,ensur,32
478,pu,2231
479,fro,396
480,promo,122
481,pri,662
482,pan,1362
483,aroma,35
484,cho,1056
485,cel,528
486,cca,209
487,zing,123
488,ales,1419
489,ovich,303
490,man,8069
491,volt,119
492,bore,101
493,affin,26
494,ity,356
495,film,247
496,î,115
497,ourne,90
498,lix,74
499,we,2283
500,stir,114
501,got,644
502,å,415
503,jic,106
504,trio,129
505,log,1376
506,ve,3052
507,hol,822
508,oligo,114
509,polis,399
510,bri,894
511,pocket,10
512,pile,92
513,rian,648
514,th,4812
515,char,979
516,escu,497
517,con,3694
518,lab,1096
519,bu,2588
520,zen,641
521,ildar,19
522,tz,399
523,achi,419
524,sexual,60
525,car,7419
526,clos,94
527,franc,571
528,ün,393
529,г,336
530,т,838
531,н,480
532,я,382
533,д,585
534,cat,1555
535,um,5856
536,toll,98
537,repri,28
538,los,2820
539,ik,1344
540,ochi,171
541,dura,277
542,parti,332
543,che,2243
544,corona,93
545,reti,108
546,ague,245
547,fil,1216
548,ome,801
549,emp,944
550,laz,310
551,drunk,7
552,sex,250
553,org,912
554,mega,657
555,aramel,31
556,rophy,117
557,pres,980
558,ion,2900
559,visit,123
560,chat,296
561,ium,1636
562,brother,26
563,mortal,51
564,smolder,3
565,rolle,86
566,lize,27
567,éli,329
568,sque,97
569,awarde,3
570,kaz,300
571,hang,205
572,ø,694
573,bette,22
574,ð,598
575,ham,945
576,prop,707
577,rea,607
578,alent,187
579,rec,718
580,iger,418
581,ull,343
582,zag,218
583,raki,81
584,ley,1151
585,paper,45
586,drum,74
587,éma,75
588,ique,724
589,ograph,159
590,cha,3329
591,rie,450
592,ancho,128
593,gali,169
594,present,145
595,dose,1742
596,intern,173
597,kiwi,12
598,bra,1127
599,ies,1653
600,iv,513
601,pre,2724
602,ecki,43
603,flu,312
604,vi,3525
605,app,556
606,ä,1562
607,jow,23
608,abba,97
609,ier,2986
610,bombard,60
611,unar,116
612,camp,1036
613,stat,311
614,com,3346
615,glad,116
616,ura,949
617,temperat,12
618,equi,405
619,parachut,6
620,skin,118
621,clair,71
622,liber,145
623,subscribe,4
624,fan,669
625,later,138
626,vent,501
627,cher,1016
628,resisti,26
629,culo,639
630,para,1016
631,chi,2589
632,aï,201
633,terminat,8
634,ross,249
635,kak,65
636,show,128
637,consula,15
638,has,1372
639,ful,338
640,wander,40
641,winne,20
642,rsfield,9
643,uga,208
644,dam,354
645,mold,122
646,ago,1567
647,num,267
648,other,223
649,adore,1205
650,ific,825
651,ã,819
652,violator,6
653,club,214
654,clo,517
655,enci,898
656,moto,232
657,uzu,124
658,fer,1420
659,fragment,52
660,eater,23
661,ial,918
662,ter,2953
663,conform,78
664,ontific,19
665,cu,3698
666,ame,1088
667,wax,19
668,works,65
669,body,79
670,good,171
671,zil,174
672,û,115
673,elvin,29
674,cancel,56
675,+,522
676,cop,798
677,zur,185
678,rè,168
679,ghan,82
680,chase,41
681,roz,385
682,ý,325
683,mous,81
684,bach,514
685,oria,536
686,pose,185
687,cast,1086
688,ин,52
689,рн,21
690,lamin,125
691,‘,1087
692,distrib,94
693,а,1514
694,і,83
695,ír,256
696,algorithm,5
697,est,2652
698,glow,18
699,air,1229
700,š,1010
701,iler,151
702,agan,180
703,oja,337
704,mer,1522
705,hom,800
706,gate,232
707,buck,93
708,generaliz,38
709,raba,377
710,vigil,63
711,az,1882
712,unte,50
713,riz,335
714,emia,165
715,mad,1202
716,arri,429
717,rissa,13
718,pad,574
719,ent,2889
720,ard,1919
721,mill,483
722,change,58
723,uku,206
724,wall,258
725,conv,251
726,gaz,246
727,unter,99
728,resurrect,3
729,rise,179
730,nic,1767
731,neuro,292
732,gé,796
733,в,559
734,нн,30
735,cester,24
736,http,53
737,umpe,3
738,pel,611
739,yunga,13
740,rug,529
741,bras,246
742,deja,108
743,este,452
744,favor,75
745,rim,370
746,bomb,224
747,arcia,73
748,aika,81
749,stag,69
750,istic,229
751,humor,52
752,game,341
753,ño,2275
754,lines,123
755,plot,69
756,ler,1261
757,guil,457
758,betray,9
759,last,452
760,bol,892
761,adrid,104
762,led,412
763,–,1023
764,ril,342
765,ive,568
766,urban,198
767,ank,260
768,omination,4
769,eninsula,14
770,paleo,225
771,left,186
772,right,232
773,after,56
774,doctor,73
775,ristin,37
776,toxic,73
777,opinion,21
778,mala,475
779,immer,49
780,revisi,10
781,р,737
782,raj,382
783,colon,71
784,gay,210
785,fur,336
786,caval,91
787,guise,13
788,rus,641
789,ill,3757
790,arawa,26
791,atur,195
792,secu,163
793,mur,610
794,quer,622
795,uel,783
796,diversifi,24
797,exer,46
798,merchant,6
799,hip,619
800,mic,1734
801,ró,1653
802,ו,55
803,ל,30
804,פ,5
805,ע,25
806,ה,45
807,zeni,46
808,kun,395
809,race,336
810,grip,46
811,ux,1149
812,worth,224
813,axe,99
814,arme,346
815,edic,164
816,ment,4143
817,ço,217
818,made,235
819,red,1399
820,guardian,14
821,cer,2354
822,orize,2
823,ğ,108
824,koro,118
825,romatic,15
826,nicke,23
827,igna,187
828,add,217
829,age,615
830,jama,63
831,reports,7
832,report,102
833,ache,215
834,lbert,99
835,av,1413
836,breeze,7
837,brain,54
838,ucci,480
839,flex,155
840,ends,35
841,sho,224
842,lands,174
843,meadow,16
844,matri,84
845,local,133
846,fresh,18
847,field,477
848,ked,77
849,pots,8
850,ī,264
851,extremis,5
852,bak,181
853,ı,310
854,ncillo,86
855,coc,602
856,ū,592
857,ory,284
858,azzo,130
859,mund,528
860,sum,757
861,norm,167
862,arren,117
863,ires,112
864,ü,2215
865,enfeld,81
866,hav,351
867,hill,250
868,operator,46
869,key,255
870,compa,174
871,naro,64
872,rote,582
873,у,380
874,б,320
875,taco,55
876,enner,52
877,uni,1091
878,genero,27
879,renter,12
880,ridian,27
881,itz,561
882,cit,1096
883,dragon,81
884,yang,240
885,ou,2579
886,plea,20
887,eem,30
888,frica,78
889,ance,512
890,ola,1612
891,basi,273
892,margin,121
893,prese,44
894,card,546
895,è,1119
896,flour,13
897,land,1705
898,ova,410
899,ava,526
900,elf,189
901,silenc,49
902,enheim,133
903,eck,306
904,rag,545
905,mis,1000
906,enberg,415
907,chatt,26
908,tense,149
909,don,2322
910,pro,2788
911,electro,294
912,aci,2281
913,localiz,97
914,plex,68
915,lib,319
916,ère,296
917,plaza,204
918,miss,157
919,win,517
920,grab,222
921,emi,225
922,cia,1273
923,cen,554
924,super,1080
925,luna,100
926,araj,54
927,ister,280
928,chick,45
929,misfortune,2
930,rewrit,2
931,iz,1802
932,scor,176
933,ary,604
934,aria,1168
935,lament,194
936,uar,1192
937,such,377
938,mate,321
939,berg,1384
940,zie,218
941,lew,81
942,for,2792
943,zer,573
944,mus,1393
945,marc,308
946,carbon,185
947,mazan,21
948,oğ,61
949,ridge,125
950,limit,182
951,explo,88
952,sboro,54
953,street,72
954,las,2475
955,cla,481
956,eland,70
957,anji,79
958,compar,200
959,jerk,21
960,biza,55
961,bula,181
962,lane,200
963,jan,694
964,zar,1690
965,mach,230
966,ativ,625
967,alpin,106
968,dispers,52
969,rel,415
970,delete,12
971,positiv,82
972,micro,1074
973,tur,1393
974,ole,984
975,medica,38
976,born,214
977,marin,110
978,ner,1167
979,esque,183
980,ail,138
981,mar,3100
982,herita,8
983,wel,214
984,gren,220
985,guber,43
986,mak,527
987,pent,377
988,repos,52
989,prom,250
990,ped,748
991,hos,421
992,viscera,16
993,lic,1009
994,pries,9
995,gado,395
996,out,762
997,tomic,21
998,ù,85
999,cache,68
1000,lian,557
1001,heim,510
1002,metall,40
1003,hari,310
1004,cate,285
1005,gain,48
1006,imagina,47
1007,erner,60
1008,flow,40
1009,arzan,37
1010,…,270
1011,nji,65
1012,ž,436
1013,cing,68
1014,median,70
1015,bad,703
1016,cock,130
1017,rub,510
1018,lung,234
1019,cuba,76
1020,wanza,5
1021,estim,24
1022,chum,122
1023,horn,284
1024,kaila,13
1025,torm,24
1026,registration,4
1027,files,40
1028,default,22
1029,ntries,4
1030,site,169
1031,document,128
1032,event,143
1033,fair,127
1034,gre,950
1035,ikan,66
1036,congrega,37
1037,vitr,60
1038,conven,147
1039,aler,212
1040,icon,245
1041,index,183
1042,gov,144
1043,urin,194
1044,ut,3747
1045,literat,55
1046,cute,45
1047,dram,76
1048,intro,50
1049,spec,130
1050,pun,243
1051,indic,227
1052,cons,974
1053,uci,298
1054,grad,357
1055,parag,64
1056,ayette,9
1057,spin,340
1058,yze,14
1059,ημων,1
1060,house,236
1061,wish,38
1062,medallist,6
1063,rant,181
1064,atus,856
1065,bull,177
1066,bottle,9
1067,har,1047
1068,part,536
1069,control,121
1070,cour,151
1071,ault,203
1072,áz,180
1073,provinc,97
1074,xx,305
1075,omb,334
1076,cycl,285
1077,epid,261
1078,ical,254
1079,home,334
1080,vale,291
1081,ioxide,1
1082,ē,119
1083,ļ,13
1084,umbi,83
1085,chuk,126
1086,indig,57
1087,ave,974
1088,schme,33
1089,cker,156
1090,prim,265
1091,jab,293
1092,ulaga,12
1093,order,103
1094,burg,609
1095,batt,112
1096,ő,92
1097,rej,128
1098,zok,36
1099,ramp,134
1100,platin,32
1101,raven,89
1102,lomb,101
1103,rumba,57
1104,mouth,75
1105,smash,9
1106,ark,326
1107,loss,121
1108,inspir,65
1109,symboli,6
1110,patr,238
1111,she,834
1112,pap,221
1113,liver,74
1114,pit,562
1115,ende,377
1116,ride,128
1117,normal,68
1118,vig,162
1119,unes,66
1120,lso,52
1121,rezz,34
1122,ranke,66
1123,ibli,320
1124,jean,136
1125,aden,206
1126,vid,483
1127,vati,70
1128,culu,143
1129,ürk,50
1130,probabl,32
1131,gas,1188
1132,form,478
1133,rep,528
1134,three,13
1135,acular,34
1136,rate,359
1137,rul,274
1138,pat,728
1139,villa,1018
1140,ader,361
1141,gam,872
1142,evsky,63
1143,pani,195
1144,opoul,103
1145,een,482
1146,ays,101
1147,pinna,75
1148,reveren,25
1149,computer,28
1150,suite,28
1151,guitar,131
1152,rib,329
1153,root,42
1154,pen,1040
1155,guay,312
1156,cke,210
1157,ervic,26
1158,hit,472
1159,els,376
1160,kki,97
1161,ves,716
1162,long,760
1163,female,3
1164,berna,117
1165,ashvil,43
1166,code,220
1167,act,1040
1168,tip,516
1169,uelle,81
1170,laden,37
1171,trail,35
1172,reflex,68
1173,än,295
1174,dig,392
1175,olls,26
1176,less,286
1177,pos,756
1178,ná,307
1179,bell,846
1180,rumbi,14
1181,file,137
1182,moderniz,42
1183,feed,19
1184,forward,17
1185,crea,133
1186,die,742
1187,bas,1094
1188,iker,63
1189,ike,358
1190,brun,295
1191,configur,68
1192,trim,149
1193,shwar,12
1194,bake,33
1195,iden,164
1196,jay,116
1197,eva,249
1198,gic,879
1199,respon,10
1200,aze,95
1201,tion,233
1202,rang,454
1203,hour,68
1204,wan,538
1205,weight,26
1206,light,164
1207,mud,263
1208,tri,1397
1209,pic,1516
1210,sville,308
1211,ntic,66
1212,auté,30
1213,imp,629
1214,broad,50
1215,ticke,2
1216,chu,705
1217,tabl,126
1218,came,470
1219,fines,39
1220,ò,462
1221,gar,1630
1222,otten,81
1223,stein,504
1224,with,93
1225,agus,85
1226,colonial,49
1227,disciplin,82
1228,itali,98
1229,kal,670
1230,met,866
1231,gir,478
1232,tical,49
1233,volta,42
1234,@,182
1235,wiki,734
1236,contact,59
1237,ripe,50
1238,hiro,122
1239,angle,115
1240,ile,452
1241,utiliz,138
1242,brin,170
1243,rama,282
1244,reserve,7
1245,kha,152
1246,leg,1066
1247,prep,66
1248,jah,154
1249,diva,57
1250,gun,718
1251,bow,91
1252,alism,185
1253,ken,605
1254,vapor,89
1255,pressure,5
1256,must,100
1257,igan,257
1258,arteri,47
1259,oven,130
1260,assi,131
1261,enni,81
1262,artist,71
1263,hetero,362
1264,off,866
1265,rack,64
1266,play,192
1267,uzz,98
1268,polit,71
1269,pique,65
1270,corn,443
1271,cruiser,7
1272,azy,35
1273,port,1039
1274,did,901
1275,paul,197
1276,rude,74
1277,ilica,65
1278,uschen,11
1279,bular,84
1280,rol,755
1281,special,75
1282,ovin,63
1283,ogue,114
1284,remo,332
1285,rque,267
1286,ong,1018
1287,boy,357
1288,zzi,251
1289,color,332
1290,unit,181
1291,director,90
1292,jk,105
1293,stable,131
1294,ji,1151
1295,chil,403
1296,harp,98
1297,gri,368
1298,ç,1046
1299,lens,293
1300,―,293
1301,actual,172
1302,ulle,102
1303,erg,90
1304,sham,156
1305,apid,71
1306,caul,156
1307,orth,84
1308,ichne,17
1309,tier,437
1310,raub,15
1311,chap,216
1312,shaq,9
1313,hall,337
1314,avor,71
1315,alter,294
1316,chie,179
1317,poo,39
1318,the,2386
1319,deport,172
1320,rius,94
1321,offer,37
1322,vol,914
1323,~,173
1324,firm,202
1325,igne,194
1326,market,34
1327,new,307
1328,alga,179
1329,ancing,19
1330,inger,202
1331,tell,813
1332,dron,137
1333,thus,732
1334,nthia,26
1335,ple,520
1336,participati,10
1337,arts,87
1338,robin,54
1339,hiat,8
1340,brac,430
1341,ranche,27
1342,malaya,18
1343,lotter,18
1344,weep,8
1345,far,1150
1346,tribut,57
1347,ambr,124
1348,ì,159
1349,strum,122
1350,concussion,1
1351,labra,102
1352,ixie,18
1353,gold,234
1354,igger,24
1355,motor,179
1356,nikov,183
1357,lier,303
1358,ques,415
1359,tha,1520
1360,orum,583
1361,priv,72
1362,cup,528
1363,pig,274
1364,elix,51
1365,azu,358
1366,mast,123
1367,fram,52
1368,line,884
1369,uk,745
1370,memorial,21
1371,liga,271
1372,rates,90
1373,pec,479
1374,hunt,70
1375,ún,594
1376,quite,121
1377,kula,79
1378,court,485
1379,food,23
1380,jugu,48
1381,oquin,123
1382,cus,817
1383,agne,174
1384,ke,2000
1385,web,318
1386,umb,170
1387,upgrade,3
1388,socio,131
1389,schen,391
1390,relieve,16
1391,ack,237
1392,jee,51
1393,untle,4
1394,mix,246
1395,old,614
1396,ahua,358
1397,uter,172
1398,was,433
1399,column,51
1400,ork,243
1401,chang,178
1402,ping,209
1403,ventur,100
1404,ampl,115
1405,rue,145
1406,mari,1142
1407,ranch,71
1408,ize,302
1409,waj,23
1410,cigar,33
1411,quit,530
1412,involv,2
1413,jaw,60
1414,enclos,2
1415,wij,79
1416,hug,167
1417,total,113
1418,nazi,59
1419,suka,97
1420,wal,638
1421,quadri,98
1422,glio,232
1423,alvad,64
1424,demi,59
1425,aux,653
1426,uscul,109
1427,hard,484
1428,iak,168
1429,serv,147
1430,crossword,2
1431,pharmaci,5
1432,rab,170
1433,aka,623
1434,word,51
1435,senbar,1
1436,gone,205
1437,capital,45
1438,empti,7
1439,ther,381
1440,ewing,5
1441,kum,173
1442,ood,95
1443,emer,149
1444,ij,460
1445,arseni,33
1446,ney,323
1447,lose,64
1448,investiga,65
1449,visib,27
1450,chel,342
1451,alk,214
1452,ransfer,1
1453,amburg,37
1454,museum,85
1455,best,169
1456,ika,489
1457,undu,64
1458,if,2372
1459,plu,188
1460,lace,294
1461,rou,271
1462,clero,16
1463,tract,31
1464,abandon,74
1465,calendar,25
1466,ima,854
1467,barb,206
1468,nerv,33
1469,crib,351
1470,är,329
1471,bul,353
1472,θόλος,1
1473,bred,94
1474,ô,375
1475,facilit,53
1476,ure,804
1477,reli,68
1478,bira,85
1479,rtz,65
1480,keep,17
1481,voc,153
1482,lica,546
1483,elli,606
1484,lop,279
1485,typ,109
1486,plo,302
1487,vani,107
1488,sparr,48
1489,unk,111
1490,collection,12
1491,uring,35
1492,intersect,4
1493,ministr,185
1494,tel,735
1495,folio,73
1496,short,44
1497,cies,84
1498,itude,36
1499,ouli,60
1500,excess,3
1501,hur,376
1502,hem,613
1503,avi,717
1504,sacrific,50
1505,prope,23
1506,transit,75
1507,aneja,26
1508,amp,474
1509,pedic,70
1510,abi,253
1511,cú,267
1512,hore,47
1513,ble,744
1514,nova,475
1515,rum,768
1516,raci,521
1517,hyp,131
1518,burn,210
1519,pure,105
1520,mental,163
1521,prov,49
1522,user,215
1523,´,373
1524,come,696
1525,rev,289
1526,õ,201
1527,determination,3
1528,ven,1299
1529,liar,114
1530,uz,1067
1531,stakeholder,2
1532,tiz,121
1533,viv,290
1534,rapi,182
1535,pac,569
1536,by,1303
1537,fire,168
1538,swing,21
1539,lap,477
1540,rigor,74
1541,fica,757
1542,radio,472
1543,cassette,16
1544,result,124
1545,late,215
1546,box,321
1547,borough,84
1548,und,460
1549,its,658
1550,say,436
1551,étic,703
1552,tche,27
1553,cap,1517
1554,decor,114
1555,vita,164
1556,femi,9
1557,residenc,28
1558,oët,17
1559,ivor,63
1560,fter,23
1561,lash,52
1562,ἄνθος,1
1563,companion,3
1564,ring,306
1565,continu,108
1566,lie,610
1567,enga,130
1568,altar,123
1569,erve,63
1570,portray,6
1571,grim,212
1572,aga,816
1573,till,476
1574,akis,108
1575,itzer,61
1576,pull,128
1577,glia,340
1578,vac,416
1579,poul,78
1580,ollett,28
1581,mage,59
1582,locke,32
1583,jet,430
1584,avio,46
1585,buray,4
1586,vital,65
1587,jok,67
1588,pret,143
1589,lson,132
1590,afra,105
1591,ice,680
1592,soft,91
1593,zuk,152
1594,pala,544
1595,ulin,248
1596,crater,43
1597,gla,185
1598,uko,101
1599,סף,2
1600,י,67
1601,fron,141
1602,indigen,21
1603,prima,108
1604,sai,533
1605,erect,31
1606,ambi,390
1607,place,132
1608,mash,122
1609,evski,100
1610,get,555
1611,xist,38
1612,cri,702
1613,eries,20
1614,gal,833
1615,haz,115
1616,mere,204
1617,ière,564
1618,grav,123
1619,erran,142
1620,eans,11
1621,rob,147
1622,arian,129
1623,electrici,18
1624,trib,79
1625,bask,26
1626,poster,108
1627,radi,357
1628,clot,30
1629,nce,229
1630,perma,166
1631,quel,207
1632,held,74
1633,interi,32
1634,arra,548
1635,lak,328
1636,shir,262
1637,mé,1078
1638,rop,516
1639,twins,5
1640,rap,533
1641,exc,151
1642,anci,274
1643,ipp,167
1644,pai,366
1645,delph,46
1646,traj,82
1647,comb,88
1648,edge,73
1649,ignan,119
1650,like,59
1651,ates,206
1652,ynops,12
1653,shire,99
1654,landmark,6
1655,spear,41
1656,fish,121
1657,stars,79
1658,protector,35
