,subtoken,count
0,glu,139
1,mac,975
2,gé,2737
3,s,274404
4,gru,252
5,chor,392
6,r,82116
7,bit,768
8,ar,16369
9,on,38571
10,but,896
11,zi,1573
12,ang,1589
13,ed,7068
14,m,52235
15,er,15710
16,is,46015
17,z,16516
18,t,149227
19,zad,225
20,d,117279
21,it,17313
22,abor,150
23,a,214694
24,ço,595
25,/,15640
26,be,12655
27,an,38167
28,n,121299
29,up,4475
30,l,69826
31,rus,705
32,c,47219
33,p,55167
34,com,2278
35,batt,227
36,déco,518
37,ré,14168
38,o,159088
39,ula,917
40,ill,5368
41,leve,67
42,e,213891
43,nov,509
44,mir,1292
45,y,62796
46,ki,4974
47,h,48482
48,ō,2737
49,ū,929
50,é,50693
51,fiction,75
52,lé,5842
53,g,40642
54,ugge,49
55,mont,3764
56,guil,621
57,ulli,145
58,в,826
59,у,554
60,д,794
61,р,1013
62,о,2004
63,ju,2369
64,b,56415
65,ologne,54
66,i,157967
67,mur,631
68,to,20147
69,molest,20
70,in,52289
71,front,223
72,minutes,13
73,}},4633
74,v,21000
75,ê,2037
76,ér,2166
77,num,410
78,tak,486
79,u,48172
80,ver,4822
81,ragu,96
82,has,1801
83,ations,398
84,inter,1399
85,ur,10228
86,shak,134
87,aku,621
88,ku,1238
89,ž,1057
90,j,9269
91,bio,943
92,photo,389
93,uji,374
94,chrom,187
95,poly,816
96,th,9321
97,mé,5497
98,liqu,640
99,ach,2884
100,ée,8482
101,ign,733
102,vill,334
103,arch,646
104,logical,19
105,flora,126
106,cut,546
107,of,2783
108,re,27501
109,col,1284
110,cor,1961
111,izzo,77
112,say,461
113,k,44131
114,ami,1404
115,",",7519
116,null,29
117,mpson,43
118,rai,936
119,gon,1130
120,melan,231
121,ntagon,24
122,al,17953
123,ó,2510
124,fer,1475
125,ik,2233
126,ő,453
127,zen,1114
128,all,4438
129,aq,548
130,mal,1800
131,absor,10
132,ption,59
133,uke,414
134,pro,2605
135,mphi,151
136,vo,3414
137,quin,797
138,toile,49
139,…,4091
140,us,18024
141,lac,528
142,un,6661
143,gue,1264
144,ï,2626
145,wax,31
146,hatche,21
147,ville,3337
148,bul,383
149,cal,2150
150,sai,1507
151,ment,3546
152,uri,908
153,ban,1477
154,corp,206
155,uru,749
156,he,8841
157,ge,5240
158,cou,1079
159,ler,1671
160,ly,5318
161,faithful,5
162,bou,2385
163,nette,311
164,intend,37
165,enza,210
166,raps,26
167,court,1498
168,á,3645
169,kisk,23
170,im,3494
171,dec,327
172,wer,639
173,chin,790
174,guru,66
175,chen,719
176,rash,129
177,get,815
178,ger,1455
179,swab,8
180,span,155
181,cre,698
182,bourg,864
183,stars,57
184,ma,9385
185,za,3587
186,am,5791
187,horse,56
188,men,3108
189,nam,410
190,ze,2878
191,meat,23
192,puppet,15
193,black,324
