,Stimulus,Stdev,Subtokens
22289,smugglers,2.2607766610417563,"[['s', '##m', '##u', '##g', '##g', '##le', '##r', '##s'], ['sm', '##ug', '##g', '##ler', '##s'], ['sm', '##ugg', '##lers'], ['smugg', '##lers'], ['smugg', '##lers'], ['smugglers'], ['smugglers'], ['smugglers'], ['smugglers']]"
26329,typescripts,2.2110831935702664,"[['t', '##y', '##p', '##es', '##c', '##r', '##ip', '##t', '##s'], ['type', '##sc', '##ri', '##pt', '##s'], ['types', '##cript', '##s'], ['types', '##cripts'], ['types', '##cript', '##s'], ['types', '##cripts'], ['types', '##cripts'], ['types', '##cripts'], ['types', '##cripts']]"
16115,onslaught,2.1081851067789197,"[['on', '##s', '##l', '##a', '##u', '##gh', '##t'], ['on', '##s', '##l', '##aught'], ['on', '##s', '##la', '##ugh', '##t'], ['onslaught'], ['ons', '##la', '##ught'], ['onslaught'], ['onslaught'], ['onslaught'], ['onslaught']]"
9004,footprints,2.078698548207745,"[['f', '##o', '##ot', '##p', '##r', '##in', '##t', '##s'], ['foot', '##pr', '##int', '##s'], ['foot', '##pr', '##int', '##s'], ['footprint', '##s'], ['footprint', '##s'], ['footprints'], ['footprints'], ['footprint', '##s'], ['footprint', '##s']]"
2180,bombshell,2.0608041101101566,"[['b', '##om', '##b', '##s', '##he', '##l', '##l'], ['bo', '##m', '##bs', '##hel', '##l'], ['bomb', '##sh', '##ell'], ['bombshell'], ['bombs', '##hell'], ['bombshell'], ['bombshell'], ['bombshell'], ['bombshell']]"
2181,bombshells,2.0608041101101566,"[['b', '##om', '##b', '##s', '##he', '##l', '##l', '##s'], ['bo', '##m', '##bs', '##hel', '##l', '##s'], ['bomb', '##sh', '##ell', '##s'], ['bombshell', '##s'], ['bombs', '##hell', '##s'], ['bombshell', '##s'], ['bombshell', '##s'], ['bombshell', '##s'], ['bombshell', '##s']]"
10000,girlfriends,2.0548046676563256,"[['g', '##ir', '##l', '##f', '##r', '##ie', '##nd', '##s'], ['girl', '##fr', '##iend', '##s'], ['girlfriend', '##s'], ['girlfriend', '##s'], ['girlfriend', '##s'], ['girlfriends'], ['girlfriends'], ['girlfriend', '##s'], ['girlfriend', '##s']]"
16116,onslaughts,2.006163342807532,"[['on', '##s', '##l', '##a', '##u', '##gh', '##t', '##s'], ['on', '##s', '##l', '##aught', '##s'], ['on', '##s', '##la', '##ugh', '##ts'], ['onslaught', '##s'], ['ons', '##la', '##ught', '##s'], ['onslaught', '##s'], ['onslaught', '##s'], ['onslaught', '##s'], ['onslaught', '##s']]"
8786,floorboards,2.0,"[['f', '##l', '##o', '##or', '##b', '##o', '##ard', '##s'], ['floor', '##bo', '##ards'], ['floor', '##board', '##s'], ['floor', '##boards'], ['floor', '##boards'], ['floorboards'], ['floorboards'], ['floor', '##boards'], ['floor', '##boards']]"
8969,foolproof,1.9876159799998132,"[['f', '##o', '##ol', '##p', '##ro', '##o', '##f'], ['f', '##ool', '##pr', '##oo', '##f'], ['f', '##ool', '##pro', '##of'], ['fool', '##proof'], ['fool', '##proof'], ['foolproof'], ['foolproof'], ['foolproof'], ['fool', '##proof']]"
22290,smuggling,1.9876159799998132,"[['s', '##m', '##u', '##g', '##g', '##l', '##ing'], ['sm', '##ug', '##g', '##ling'], ['sm', '##ugg', '##ling'], ['smuggling'], ['smuggling'], ['smuggling'], ['smuggling'], ['smuggling'], ['smuggling']]"
25526,toothpaste,1.9688939051854835,"[['to', '##ot', '##h', '##p', '##ast', '##e'], ['too', '##th', '##p', '##ast', '##e'], ['too', '##th', '##p', '##ast', '##e'], ['toothp', '##aste'], ['tooth', '##pa', '##st', '##e'], ['toothpaste'], ['toothpaste'], ['toothpaste'], ['toothpaste']]"
2574,breezeblock,1.9688939051854832,"[['br', '##e', '##e', '##z', '##e', '##b', '##l', '##ock'], ['bre', '##e', '##ze', '##b', '##l', '##ock'], ['bre', '##ez', '##eb', '##l', '##ock'], ['breeze', '##bl', '##ock'], ['bree', '##ze', '##bl', '##ock'], ['breeze', '##block'], ['breeze', '##block'], ['breeze', '##block'], ['breeze', '##blo', '##ck']]"
5985,dashboards,1.9499920860871383,"[['d', '##as', '##h', '##b', '##o', '##ard', '##s'], ['d', '##ash', '##bo', '##ards'], ['d', '##ash', '##board', '##s'], ['dashboard', '##s'], ['dashboard', '##s'], ['dashboards'], ['dashboards'], ['dashboards'], ['dashboards']]"
8624,flashbacks,1.9499920860871383,"[['f', '##l', '##as', '##h', '##b', '##ack', '##s'], ['fl', '##ash', '##back', '##s'], ['fl', '##ash', '##back', '##s'], ['flash', '##backs'], ['flash', '##backs'], ['flashbacks'], ['flashbacks'], ['flashbacks'], ['flashbacks']]"
19741,roadblocks,1.949992086087138,"[['r', '##o', '##ad', '##b', '##l', '##ock', '##s'], ['road', '##b', '##l', '##ocks'], ['road', '##bl', '##ocks'], ['roadblocks'], ['road', '##bl', '##ocks'], ['roadblocks'], ['roadblocks'], ['roadblocks'], ['roadblocks']]"
22143,sluggish,1.949992086087138,"[['s', '##l', '##u', '##g', '##g', '##is', '##h'], ['sl', '##ug', '##g', '##ish'], ['sl', '##ugg', '##ish'], ['sluggish'], ['sl', '##ugg', '##ish'], ['sluggish'], ['sluggish'], ['sluggish'], ['sluggish']]"
16317,outskirts,1.9436506316151,"[['out', '##s', '##k', '##ir', '##t', '##s'], ['out', '##s', '##ki', '##r', '##ts'], ['outs', '##ki', '##r', '##ts'], ['outskirts'], ['outskirts'], ['outskirts'], ['outskirts'], ['outskirts'], ['outskirts']]"
17163,pilgrims,1.9436506316151,"[['p', '##il', '##g', '##r', '##im', '##s'], ['p', '##il', '##gr', '##im', '##s'], ['pil', '##gr', '##im', '##s'], ['pilgrims'], ['pilgrims'], ['pilgrims'], ['pilgrims'], ['pilgrims'], ['pilgrims']]"
2040,blueprint,1.9436506316150999,"[['b', '##l', '##ue', '##p', '##r', '##in', '##t'], ['bl', '##ue', '##pr', '##int'], ['blue', '##pr', '##int'], ['blueprint'], ['blue', '##print'], ['blueprint'], ['blueprint'], ['blueprint'], ['blueprint']]"
2041,blueprints,1.9436506316150999,"[['b', '##l', '##ue', '##p', '##r', '##in', '##t', '##s'], ['bl', '##ue', '##pr', '##int', '##s'], ['blue', '##pr', '##int', '##s'], ['blueprint', '##s'], ['blue', '##print', '##s'], ['blueprint', '##s'], ['blueprint', '##s'], ['blueprint', '##s'], ['blueprint', '##s']]"
3802,checkpoints,1.9436506316150999,"[['ch', '##ec', '##k', '##p', '##oin', '##t', '##s'], ['check', '##p', '##oint', '##s'], ['check', '##point', '##s'], ['checkpoints'], ['checkpoint', '##s'], ['checkpoints'], ['checkpoints'], ['checkpoints'], ['checkpoints']]"
20156,safeguards,1.9436506316150999,"[['sa', '##f', '##e', '##g', '##u', '##ard', '##s'], ['safe', '##g', '##u', '##ards'], ['safe', '##gu', '##ards'], ['safeguards'], ['safeguard', '##s'], ['safeguards'], ['safeguards'], ['safeguards'], ['safeguards']]"
22287,smuggled,1.9436506316150999,"[['s', '##m', '##u', '##g', '##g', '##le', '##d'], ['sm', '##ug', '##g', '##led'], ['sm', '##ugg', '##led'], ['smuggled'], ['smugg', '##led'], ['smuggled'], ['smuggled'], ['smuggled'], ['smuggled']]"
22680,soundtrack,1.9436506316150999,"[['so', '##un', '##d', '##t', '##ra', '##c', '##k'], ['sound', '##t', '##ra', '##ck'], ['sound', '##tr', '##ack'], ['soundtrack'], ['soundtr', '##ack'], ['soundtrack'], ['soundtrack'], ['soundtrack'], ['soundtrack']]"
17798,postscripts,1.9309052441091963,"[['p', '##ost', '##s', '##c', '##r', '##ip', '##t', '##s'], ['post', '##sc', '##ri', '##pt', '##s'], ['posts', '##cript', '##s'], ['posts', '##cripts'], ['posts', '##cript', '##s'], ['posts', '##cripts'], ['posts', '##cripts'], ['posts', '##cripts'], ['posts', '##cripts']]"
3496,catchphrase,1.9116278371205837,"[['c', '##at', '##ch', '##p', '##h', '##ra', '##se'], ['catch', '##ph', '##ra', '##se'], ['catch', '##ph', '##ra', '##se'], ['catchph', '##rase'], ['catch', '##ph', '##ras', '##e'], ['catchphrase'], ['catchphrase'], ['catchphrase'], ['catchph', '##rase']]"
