,Stimulus,Stdev,Subtokens
16325,porfortroupache,2.006163342807532,"[['po', '##r', '##f', '##ort', '##ro', '##u', '##p', '##ac', '##h', '##e'], ['po', '##r', '##for', '##tro', '##u', '##p', '##ach', '##e'], ['por', '##fort', '##rou', '##p', '##ach', '##e'], ['por', '##fort', '##rou', '##pa', '##che'], ['por', '##fort', '##rou', '##pa', '##che'], ['por', '##fort', '##roup', '##ache'], ['por', '##fort', '##roup', '##ache'], ['por', '##fort', '##roup', '##ache'], ['por', '##fort', '##roup', '##ache']]"
3495,trottoiritre,1.699673171197595,"[['tro', '##t', '##t', '##oir', '##it', '##re'], ['tro', '##t', '##t', '##oir', '##it', '##re'], ['tro', '##tt', '##oir', '##it', '##re'], ['trottoir', '##itre'], ['trottoir', '##it', '##re'], ['trottoir', '##itre'], ['trottoir', '##itre'], ['trottoir', '##itre'], ['trottoir', '##itre']]"
10288,ailsensafer,1.699673171197595,"[['ai', '##l', '##se', '##n', '##s', '##a', '##f', '##er'], ['ai', '##l', '##se', '##n', '##sa', '##f', '##er'], ['ai', '##ls', '##ens', '##af', '##er'], ['ail', '##sens', '##af', '##er'], ['ai', '##ls', '##ens', '##af', '##er'], ['ail', '##sens', '##afer'], ['ail', '##sens', '##afer'], ['ail', '##sens', '##afer'], ['ail', '##sens', '##afe', '##r']]"
13043,hanfluensé,1.699673171197595,"[['h', '##an', '##f', '##l', '##ue', '##n', '##s', '##é'], ['ha', '##n', '##f', '##lu', '##ens', '##é'], ['han', '##f', '##lu', '##ensé'], ['han', '##flu', '##ensé'], ['han', '##flu', '##ensé'], ['han', '##flu', '##ensé'], ['han', '##flu', '##ensé'], ['han', '##flu', '##ensé'], ['han', '##flu', '##ensé']]"
33,fortervailtrée,1.6850834320114556,"[['for', '##ter', '##v', '##ai', '##l', '##t', '##ré', '##e'], ['forte', '##r', '##va', '##il', '##t', '##rée'], ['forte', '##r', '##vail', '##tré', '##e'], ['forter', '##vail', '##trée'], ['forte', '##r', '##vail', '##trée'], ['forter', '##vail', '##trée'], ['forter', '##vail', '##trée'], ['forter', '##vail', '##trée'], ['forter', '##vail', '##trée']]"
17115,ainsapaducriez,1.640535895581489,"[['ai', '##n', '##s', '##ap', '##ad', '##u', '##c', '##ri', '##e', '##z'], ['ai', '##n', '##sa', '##p', '##ad', '##uc', '##rie', '##z'], ['ai', '##n', '##sa', '##p', '##ad', '##uc', '##rie', '##z'], ['ai', '##ns', '##ap', '##ad', '##uc', '##riez'], ['ai', '##ns', '##ap', '##ad', '##uc', '##riez'], ['ai', '##ns', '##apa', '##duc', '##riez'], ['ai', '##ns', '##apa', '##duc', '##riez'], ['ai', '##ns', '##apa', '##duc', '##riez'], ['ai', '##ns', '##ap', '##ad', '##uc', '##riez']]"
31655,fultrépaphes,1.640535895581489,"[['f', '##ul', '##t', '##ré', '##p', '##ap', '##h', '##es'], ['fu', '##l', '##t', '##ré', '##p', '##ap', '##he', '##s'], ['fu', '##l', '##tré', '##p', '##ap', '##he', '##s'], ['ful', '##tré', '##pa', '##phe', '##s'], ['ful', '##tré', '##pa', '##ph', '##es'], ['ful', '##tré', '##pa', '##phes'], ['ful', '##tré', '##pa', '##phes'], ['ful', '##tré', '##pa', '##phes'], ['ful', '##tré', '##pa', '##phes']]"
31801,densengablaient,1.632993161855452,"[['de', '##n', '##se', '##n', '##g', '##ab', '##l', '##aient'], ['de', '##n', '##se', '##n', '##ga', '##b', '##la', '##ient'], ['den', '##sen', '##ga', '##bl', '##aient'], ['dense', '##ng', '##ab', '##laient'], ['dense', '##ng', '##ab', '##laient'], ['dense', '##ng', '##abl', '##aient'], ['dense', '##ng', '##abl', '##aient'], ['dense', '##ng', '##ab', '##laient'], ['dense', '##ng', '##ab', '##laient']]"
2223,éblouistotage,1.617802197617893,"[['é', '##b', '##l', '##ou', '##ist', '##ot', '##age'], ['é', '##b', '##lo', '##uis', '##t', '##ota', '##ge'], ['éb', '##lo', '##uis', '##to', '##tage'], ['éblou', '##isto', '##tage'], ['éb', '##lou', '##ist', '##otage'], ['éblou', '##isto', '##tage'], ['ébloui', '##st', '##otage'], ['éblou', '##isto', '##tage'], ['éblou', '##isto', '##tage']]"
15818,inscencocret,1.594744454934147,"[['in', '##s', '##ce', '##n', '##co', '##c', '##re', '##t'], ['insc', '##en', '##co', '##cre', '##t'], ['insc', '##en', '##co', '##cre', '##t'], ['insc', '##enco', '##cret'], ['insc', '##en', '##co', '##cret'], ['insc', '##enco', '##cret'], ['insc', '##enco', '##cret'], ['insc', '##enco', '##cret'], ['insc', '##enco', '##cret']]"
