,Stimulus,Stdev,Subtokens
18639,hétérosexuels,2.748737083745107,"[['h', '##é', '##té', '##ro', '##se', '##x', '##ue', '##l', '##s'], ['h', '##été', '##ros', '##e', '##x', '##uels'], ['h', '##été', '##ros', '##e', '##x', '##uels'], ['hété', '##rose', '##x', '##uels'], ['hété', '##rose', '##x', '##uels'], ['hétérosexuels'], ['hétérosexuels'], ['hétérosexuels'], ['hétérosexuels']]"
29155,rafraîchissement,2.698879511442471,"[['ra', '##f', '##ra', '##î', '##ch', '##iss', '##em', '##ent'], ['ra', '##f', '##ra', '##î', '##chi', '##ss', '##ement'], ['rafraî', '##chi', '##ss', '##ement'], ['rafraîchissement'], ['rafraîchissement'], ['rafraîchissement'], ['rafraîchissement'], ['rafraîchissement'], ['rafraîchissement']]"
6502,circonscription,2.6666666666666665,"[['c', '##ir', '##co', '##n', '##s', '##c', '##ri', '##p', '##tion'], ['cir', '##con', '##s', '##cri', '##ption'], ['circonscription'], ['circonscription'], ['circonscription'], ['circonscription'], ['circonscription'], ['circonscription'], ['circonscription']]"
19542,inconvénients,2.6666666666666665,"[['in', '##co', '##n', '##v', '##é', '##ni', '##ent', '##s'], ['inc', '##on', '##vé', '##nie', '##nt', '##s'], ['inc', '##on', '##vé', '##nie', '##nt', '##s'], ['inconvénients'], ['inconvéni', '##ents'], ['inconvénients'], ['inconvénients'], ['inconvénients'], ['inconvénients']]"
35528,téléspectateurs,2.586765939293959,"[['t', '##é', '##lé', '##s', '##pec', '##tat', '##eu', '##r', '##s'], ['télé', '##s', '##pecta', '##teurs'], ['télé', '##s', '##pecta', '##teurs'], ['téléspectateurs'], ['téléspectateurs'], ['téléspectateurs'], ['téléspectateurs'], ['téléspectateurs'], ['téléspectateurs']]"
12068,dysfonctionnements,2.5579698740491863,"[['d', '##y', '##s', '##f', '##on', '##ction', '##nement', '##s'], ['d', '##ys', '##f', '##on', '##ction', '##nements'], ['d', '##ys', '##f', '##onction', '##nements'], ['dysfonctionnements'], ['dysfonction', '##nements'], ['dysfonctionnements'], ['dysfonctionnements'], ['dysfonctionnements'], ['dysfonctionnements']]"
1616,amphithéâtre,2.514157444218836,"[['a', '##mp', '##h', '##it', '##h', '##é', '##â', '##tre'], ['am', '##ph', '##ith', '##é', '##âtre'], ['amp', '##hi', '##th', '##é', '##âtre'], ['amphithéâtre'], ['amp', '##hi', '##th', '##é', '##âtre'], ['amphithéâtre'], ['amphithéâtre'], ['amphithéâtre'], ['amphithéâtre']]"
6836,coïncidence,2.499382639822665,"[['co', '##ï', '##n', '##ci', '##de', '##n', '##ce'], ['co', '##ï', '##n', '##ci', '##de', '##n', '##ce'], ['co', '##ï', '##n', '##cide', '##n', '##ce'], ['coïncide', '##n', '##ce'], ['coïn', '##cide', '##n', '##ce'], ['coïncidence'], ['coïncidence'], ['coïncidence'], ['coïncidence']]"
29156,rafraîchissements,2.499382639822665,"[['ra', '##f', '##ra', '##î', '##ch', '##iss', '##em', '##ent', '##s'], ['ra', '##f', '##ra', '##î', '##chi', '##ss', '##ements'], ['rafraî', '##chi', '##ss', '##ements'], ['rafraîchissement', '##s'], ['rafraîchissement', '##s'], ['rafraîchissement', '##s'], ['rafraîchissement', '##s'], ['rafraîchissement', '##s'], ['rafraîchissement', '##s']]"
28677,psychanalyste,2.494438257849294,"[['p', '##s', '##y', '##ch', '##an', '##al', '##y', '##st', '##e'], ['psych', '##ana', '##ly', '##ste'], ['psych', '##ana', '##lys', '##te'], ['psychanaly', '##ste'], ['psych', '##ana', '##lys', '##te'], ['psychanalyste'], ['psychanalyste'], ['psychanalyste'], ['psychanalyste']]"
