,Stimulus,Stdev,Subtokens
1161,bordpoints,1.872477727372524,"[['bo', '##r', '##d', '##p', '##o', '##int', '##s'], ['bo', '##r', '##d', '##p', '##o', '##int', '##s'], ['bord', '##po', '##int', '##s'], ['bord', '##point', '##s'], ['bord', '##po', '##int', '##s'], ['bord', '##points'], ['bord', '##points'], ['bord', '##points'], ['bord', '##point', '##s']]"
1532,chauffaart,1.5634719199411433,"[['c', '##h', '##a', '##u', '##ff', '##aar', '##t'], ['ch', '##auff', '##aart'], ['chauff', '##aart'], ['chauff', '##aart'], ['chauff', '##aart'], ['chauff', '##aart'], ['chauff', '##aart'], ['chauff', '##aart'], ['chauff', '##aart']]"
11095,stootvlieg,1.4487116456005884,"[['st', '##oot', '##v', '##l', '##ie', '##g'], ['st', '##oot', '##vl', '##ie', '##g'], ['st', '##oot', '##vlie', '##g'], ['stoot', '##vlieg'], ['stoot', '##vlie', '##g'], ['stoot', '##vlieg'], ['stoot', '##vlieg'], ['stoot', '##vlieg'], ['stoot', '##vlieg']]"
1713,crèzes,1.4142135623730951,"[['c', '##r', '##è', '##ze', '##s'], ['c', '##r', '##è', '##ze', '##s'], ['c', '##r', '##è', '##ze', '##s'], ['crè', '##zes'], ['crè', '##zes'], ['crè', '##zes'], ['crè', '##zes'], ['crè', '##zes'], ['crè', '##zes']]"
6847,machtsstreek,1.3698697784375504,"[['ma', '##cht', '##ss', '##t', '##ree', '##k'], ['macht', '##ss', '##tre', '##ek'], ['macht', '##ss', '##tre', '##ek'], ['machts', '##streek'], ['machts', '##streek'], ['machts', '##streek'], ['machts', '##streek'], ['machts', '##streek'], ['machts', '##streek']]"
11714,toetsgroen,1.3698697784375504,"[['toe', '##t', '##s', '##g', '##ro', '##en'], ['toet', '##s', '##gr', '##oen'], ['toet', '##s', '##gro', '##en'], ['toets', '##groen'], ['toet', '##s', '##gro', '##en'], ['toets', '##groen'], ['toets', '##groen'], ['toets', '##groen'], ['toets', '##groen']]"
12657,viltstorm,1.3698697784375504,"[['v', '##il', '##t', '##st', '##orm'], ['v', '##il', '##ts', '##to', '##r', '##m'], ['vi', '##l', '##ts', '##to', '##r', '##m'], ['vi', '##l', '##ts', '##to', '##r', '##m'], ['vi', '##l', '##ts', '##to', '##r', '##m'], ['vi', '##lt', '##storm'], ['vi', '##lt', '##storm'], ['vi', '##lt', '##storm'], ['vi', '##l', '##ts', '##to', '##r', '##m']]"
5931,krammels,1.3698697784375502,"[['k', '##ra', '##m', '##me', '##l', '##s'], ['kr', '##am', '##me', '##l', '##s'], ['kra', '##mm', '##els'], ['kra', '##mmel', '##s'], ['kra', '##mmel', '##s'], ['kra', '##mmels'], ['kra', '##mmels'], ['kra', '##mmels'], ['kra', '##mmels']]"
7724,neuthoofd,1.3333333333333333,"[['n', '##e', '##ut', '##h', '##oof', '##d'], ['ne', '##ut', '##h', '##oofd'], ['neut', '##hoofd'], ['neut', '##hoofd'], ['neut', '##hoofd'], ['neut', '##hoofd'], ['neut', '##hoofd'], ['neut', '##hoofd'], ['neut', '##hoofd']]"
10129,slaafvlies,1.3333333333333333,"[['sl', '##aa', '##f', '##v', '##l', '##ies'], ['sl', '##aaf', '##vl', '##ies'], ['sl', '##aaf', '##vlie', '##s'], ['slaaf', '##vlies'], ['slaaf', '##vlie', '##s'], ['slaaf', '##vlies'], ['slaaf', '##vlies'], ['slaaf', '##vlies'], ['slaaf', '##vlies']]"
