,Stimulus,Stdev,Subtokens
1614,chauffeurs,2.182986967154278,"[['c', '##h', '##a', '##u', '##ff', '##e', '##ur', '##s'], ['ch', '##auff', '##eurs'], ['chauff', '##eurs'], ['chauffeurs'], ['chauffeurs'], ['chauffeurs'], ['chauffeurs'], ['chauffeurs'], ['chauffeurs']]"
3815,gletsjers,2.1140330656044943,"[['g', '##le', '##t', '##s', '##je', '##r', '##s'], ['gl', '##ets', '##je', '##r', '##s'], ['gl', '##ets', '##jer', '##s'], ['gletsjers'], ['glets', '##jers'], ['gletsjers'], ['gletsjers'], ['gletsjers'], ['gletsjers']]"
3863,godsdienst,1.9436506316151,"[['g', '##od', '##s', '##d', '##ien', '##st'], ['go', '##d', '##sd', '##ien', '##st'], ['god', '##sd', '##iens', '##t'], ['godsdienst'], ['godsdienst'], ['godsdienst'], ['godsdienst'], ['godsdienst'], ['godsdienst']]"
6002,kroonprins,1.9436506316151,"[['k', '##ro', '##on', '##p', '##r', '##in', '##s'], ['kro', '##on', '##pr', '##ins'], ['kro', '##on', '##pr', '##ins'], ['kroonpr', '##ins'], ['kroon', '##pr', '##ins'], ['kroonprins'], ['kroonprins'], ['kroonprins'], ['kroonprins']]"
1759,cowboys,1.9116278371205837,"[['c', '##o', '##w', '##b', '##o', '##y', '##s'], ['co', '##w', '##bo', '##ys'], ['co', '##w', '##bo', '##ys'], ['cowbo', '##ys'], ['co', '##w', '##bo', '##ys'], ['cowboys'], ['cowboys'], ['cowboys'], ['cowbo', '##ys']]"
13403,workshops,1.892154040658489,"[['wor', '##k', '##s', '##h', '##op', '##s'], ['wor', '##ks', '##h', '##op', '##s'], ['wor', '##ks', '##hop', '##s'], ['workshops'], ['workshop', '##s'], ['workshops'], ['workshops'], ['workshops'], ['workshops']]"
1613,chauffeur,1.8856180831641267,"[['c', '##h', '##a', '##u', '##ff', '##e', '##ur'], ['ch', '##auff', '##eur'], ['chauff', '##eur'], ['chauffeur'], ['chauffeur'], ['chauffeur'], ['chauffeur'], ['chauffeur'], ['chauffeur']]"
10037,slijmvlies,1.8856180831641267,"[['sl', '##ij', '##m', '##v', '##l', '##ies'], ['sl', '##ij', '##m', '##vl', '##ies'], ['sl', '##ij', '##m', '##vlie', '##s'], ['slijm', '##vlies'], ['sl', '##ijm', '##vlie', '##s'], ['slijmvlies'], ['slijmvlies'], ['slijmvlies'], ['slijm', '##vlies']]"
8530,postcheque,1.7916128329552334,"[['p', '##os', '##t', '##ch', '##e', '##q', '##u', '##e'], ['post', '##che', '##que'], ['post', '##che', '##que'], ['post', '##che', '##que'], ['post', '##che', '##que'], ['post', '##cheque'], ['post', '##cheque'], ['post', '##cheque'], ['post', '##cheque']]"
3094,frisdrank,1.7916128329552332,"[['f', '##r', '##is', '##d', '##ran', '##k'], ['fr', '##is', '##dra', '##n', '##k'], ['fris', '##dra', '##n', '##k'], ['fris', '##drank'], ['fris', '##dra', '##n', '##k'], ['frisdrank'], ['frisdrank'], ['frisdrank'], ['fris', '##drank']]"
5639,knoflook,1.7708197167232473,"[['k', '##n', '##of', '##l', '##oo', '##k'], ['kn', '##of', '##lo', '##ok'], ['kn', '##of', '##lo', '##ok'], ['knoflook'], ['kn', '##of', '##look'], ['knoflook'], ['knoflook'], ['knoflook'], ['knoflook']]"
9610,schildklier,1.7708197167232473,"[['sch', '##il', '##d', '##k', '##l', '##ier'], ['schil', '##d', '##kl', '##ier'], ['schil', '##d', '##kl', '##ier'], ['schildklier'], ['schild', '##kl', '##ier'], ['schildklier'], ['schildklier'], ['schildklier'], ['schildklier']]"
9330,rundvlees,1.7497795275581802,"[['r', '##un', '##d', '##v', '##le', '##es'], ['r', '##und', '##vl', '##ees'], ['ru', '##n', '##d', '##vl', '##ees'], ['rund', '##vlees'], ['run', '##d', '##vlees'], ['rundvlees'], ['rundvlees'], ['rundvlees'], ['rund', '##vlees']]"
3824,glimlach,1.7284832429004495,"[['g', '##l', '##im', '##l', '##ac', '##h'], ['gl', '##im', '##la', '##ch'], ['glim', '##la', '##ch'], ['glimlach'], ['glimlach'], ['glimlach'], ['glimlach'], ['glimlach'], ['glimlach']]"
8651,proefschrift,1.7284832429004493,"[['pro', '##e', '##f', '##sch', '##r', '##i', '##ft'], ['pro', '##ef', '##sch', '##ri', '##ft'], ['proef', '##schrift'], ['proef', '##schrift'], ['proef', '##schrift'], ['proef', '##schrift'], ['proef', '##schrift'], ['proef', '##schrift'], ['proef', '##schrift']]"
1895,dashboard,1.7069212773041353,"[['d', '##as', '##h', '##b', '##o', '##ard'], ['d', '##ash', '##bo', '##ard'], ['da', '##sh', '##bo', '##ard'], ['dash', '##board'], ['das', '##h', '##board'], ['dashboard'], ['dashboard'], ['dashboard'], ['dashboard']]"
1896,dashboards,1.7069212773041353,"[['d', '##as', '##h', '##b', '##o', '##ard', '##s'], ['d', '##ash', '##bo', '##ard', '##s'], ['da', '##sh', '##bo', '##ard', '##s'], ['dash', '##board', '##s'], ['das', '##h', '##board', '##s'], ['dashboard', '##s'], ['dashboard', '##s'], ['dashboard', '##s'], ['dashboard', '##s']]"
2290,dorpsplein,1.7069212773041353,"[['d', '##or', '##p', '##sp', '##le', '##in'], ['dorp', '##spl', '##e', '##in'], ['dorp', '##spl', '##e', '##in'], ['dorps', '##plein'], ['dorps', '##plein'], ['dorpsplein'], ['dorpsplein'], ['dorpsplein'], ['dorpsplein']]"
8531,postcheques,1.7069212773041353,"[['p', '##os', '##t', '##ch', '##e', '##q', '##u', '##es'], ['post', '##che', '##que', '##s'], ['post', '##che', '##que', '##s'], ['post', '##che', '##ques'], ['post', '##che', '##ques'], ['post', '##cheques'], ['post', '##cheques'], ['post', '##cheque', '##s'], ['post', '##cheque', '##s']]"
382,ballpoints,1.699673171197595,"[['b', '##al', '##l', '##p', '##o', '##int', '##s'], ['bal', '##l', '##p', '##o', '##int', '##s'], ['ball', '##po', '##int', '##s'], ['ball', '##point', '##s'], ['ball', '##po', '##int', '##s'], ['ball', '##points'], ['ball', '##points'], ['ball', '##points'], ['ball', '##point', '##s']]"
3469,gênant,1.699673171197595,"[['g', '##ê', '##n', '##ant'], ['g', '##ê', '##na', '##n', '##t'], ['g', '##ê', '##na', '##n', '##t'], ['gên', '##ant'], ['g', '##ê', '##na', '##nt'], ['gênant'], ['gênant'], ['gênant'], ['gênant']]"
7517,neushoorns,1.699673171197595,"[['n', '##e', '##us', '##h', '##oor', '##n', '##s'], ['ne', '##us', '##h', '##oorn', '##s'], ['neus', '##ho', '##orn', '##s'], ['neus', '##hoorn', '##s'], ['neus', '##hoorn', '##s'], ['neushoorn', '##s'], ['neushoorns'], ['neushoorn', '##s'], ['neus', '##hoorn', '##s']]"
8136,pelgrims,1.699673171197595,"[['p', '##el', '##g', '##r', '##im', '##s'], ['pe', '##l', '##gr', '##im', '##s'], ['pel', '##gr', '##im', '##s'], ['pel', '##grim', '##s'], ['pel', '##gr', '##ims'], ['pelgrims'], ['pelgrims'], ['pelgrims'], ['pel', '##grim', '##s']]"
8206,piepklein,1.699673171197595,"[['p', '##ie', '##p', '##k', '##le', '##in'], ['p', '##iep', '##kl', '##e', '##in'], ['p', '##iep', '##kle', '##in'], ['piep', '##kle', '##in'], ['piep', '##kle', '##in'], ['piepklein'], ['piepklein'], ['piepklein'], ['piep', '##kle', '##in']]"
