,English,,,,,,Dutch,,,,,
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc,, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc,
bert-base-cased,default,0.52,-0.42,-0.36,0.45,,bert-base-dutch-cased,default,0.48,-0.41,-0.36,0.46
bert-base-multilingual-cased,default,0.36,-0.19,-0.18,0.24,,bert-base-multilingual-cased,default,0.2,0.01,-0.08,0.09
bert-base-multilingual-uncased,default,0.37,-0.2,-0.22,0.26,,,,,,,
bert-base-uncased,default,0.51,-0.42,-0.36,0.47,,,,,,,
BPE,1000,0.26,-0.07,-0.06,0.13,,BPE,1000,0.24,-0.03,-0.11,0.14
BPE,5000,0.35,-0.19,-0.17,0.24,,BPE,5000,0.36,-0.14,-0.25,0.24
BPE,10000,0.41,-0.25,-0.23,0.29,,BPE,10000,0.42,-0.21,-0.31,0.31
BPE,20000,0.46,-0.33,-0.29,0.37,,BPE,20000,0.46,-0.3,-0.35,0.39
BPE,30000,0.49,-0.39,-0.33,0.42,,BPE,30000,0.47,-0.33,-0.35,0.42
BPE,40000,0.5,-0.42,-0.33,0.45,,BPE,40000,0.46,-0.35,-0.34,0.43
BPE,50000,0.5,-0.44,-0.33,0.47,,BPE,50000,0.45,-0.36,-0.33,0.44
BPE,60000,0.49,-0.46,-0.33,0.48,,BPE,60000,0.45,-0.37,-0.32,0.44
BPE,70000,0.49,-0.45,-0.32,0.48,,BPE,70000,0.44,-0.36,-0.31,0.43
gpt2,default,0.37,-0.21,-0.17,0.26,,gpt2,default,0.1,0.11,0.05,-0.03
UNI,1000,0.25,-0.08,-0.07,0.14,,UNI,1000,0.27,-0.04,-0.17,0.15
UNI,5000,0.36,-0.24,-0.21,0.27,,UNI,5000,0.41,-0.21,-0.32,0.3
UNI,10000,0.42,-0.33,-0.27,0.35,,UNI,10000,0.45,-0.29,-0.35,0.36
UNI,20000,0.43,-0.39,-0.27,0.39,,UNI,20000,0.46,-0.34,-0.36,0.41
UNI,30000,0.42,-0.4,-0.26,0.39,,UNI,30000,0.46,-0.35,-0.34,0.42
UNI,40000,0.41,-0.38,-0.24,0.38,,UNI,40000,0.45,-0.35,-0.33,0.41
UNI,50000,0.41,-0.38,-0.24,0.38,,UNI,50000,0.44,-0.34,-0.32,0.4
UNI,60000,0.41,-0.38,-0.24,0.38,,UNI,60000,0.44,-0.34,-0.32,0.4
UNI,70000,0.41,-0.38,-0.24,0.38,,UNI,70000,0.44,-0.34,-0.32,0.4
WPC,1000,0.25,-0.04,-0.05,0.12,,WPC,1000,0.23,-0.01,-0.09,0.14
WPC,5000,0.36,-0.19,-0.18,0.24,,WPC,5000,0.34,-0.13,-0.21,0.23
WPC,10000,0.42,-0.26,-0.24,0.31,,WPC,10000,0.41,-0.21,-0.29,0.31
WPC,20000,0.48,-0.34,-0.31,0.38,,WPC,20000,0.46,-0.29,-0.34,0.38
WPC,30000,0.51,-0.4,-0.34,0.43,,WPC,30000,0.47,-0.34,-0.35,0.42
WPC,40000,0.51,-0.43,-0.35,0.46,,WPC,40000,0.47,-0.36,-0.35,0.44
WPC,50000,0.51,-0.45,-0.35,0.48,,WPC,50000,0.47,-0.38,-0.35,0.45
WPC,60000,0.51,-0.47,-0.34,0.49,,WPC,60000,0.46,-0.38,-0.33,0.45
WPC,70000,0.5,-0.47,-0.34,0.49,,WPC,70000,0.46,-0.39,-0.32,0.46
xlm-roberta-base,default,0.34,-0.17,-0.16,0.23,,xlm-roberta-base,default,0.27,-0.05,-0.15,0.16
xlnet-base-cased,default,0.5,-0.47,-0.34,0.48,,,,,,,
