words
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.25,-0.04,-0.05,0.12
UNI,5000,0.36,-0.24,-0.21,0.27
WPC,5000,0.36,-0.19,-0.18,0.24
UNI,1000,0.25,-0.08,-0.07,0.14
BPE,60000,0.49,-0.46,-0.33,0.48
WPC,10000,0.42,-0.26,-0.24,0.31
BPE,70000,0.49,-0.45,-0.32,0.48
bert-base-multilingual-uncased,default,0.37,-0.20,-0.22,0.26
BPE,50000,0.50,-0.44,-0.33,0.47
WPC,30000,0.51,-0.40,-0.34,0.43
WPC,20000,0.48,-0.34,-0.31,0.38
BPE,40000,0.50,-0.42,-0.33,0.45
WPC,60000,0.51,-0.47,-0.34,0.49
WPC,70000,0.50,-0.47,-0.34,0.49
bert-base-multilingual-cased,default,0.36,-0.19,-0.18,0.24
BPE,10000,0.41,-0.25,-0.23,0.29
BPE,30000,0.49,-0.39,-0.33,0.42
WPC,50000,0.51,-0.45,-0.35,0.48
WPC,40000,0.51,-0.43,-0.35,0.46
BPE,20000,0.46,-0.33,-0.29,0.37
UNI,70000,0.41,-0.38,-0.24,0.38
xlm-roberta-base,default,0.34,-0.17,-0.16,0.23
UNI,60000,0.41,-0.38,-0.24,0.38
UNI,40000,0.41,-0.38,-0.24,0.38
UNI,50000,0.41,-0.38,-0.24,0.38
UNI,10000,0.42,-0.33,-0.27,0.35
UNI,20000,0.43,-0.39,-0.27,0.39
bert-base-cased,default,0.52,-0.42,-0.36,0.45
UNI,30000,0.42,-0.40,-0.26,0.39
xlnet-base-cased,default,0.50,-0.47,-0.34,0.48
bert-base-uncased,default,0.51,-0.42,-0.36,0.47
gpt2,default,0.37,-0.21,-0.17,0.26
BPE,1000,0.26,-0.07,-0.06,0.13
BPE,5000,0.35,-0.19,-0.17,0.24
nonwords
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.11,0.06,0.26,-0.10
UNI,5000,-0.07,0.16,0.33,-0.17
WPC,5000,-0.05,0.14,0.37,-0.16
UNI,1000,0.06,0.09,0.25,-0.11
BPE,60000,-0.10,0.18,0.40,-0.18
WPC,10000,-0.09,0.17,0.40,-0.18
BPE,70000,-0.09,0.17,0.39,-0.17
bert-base-multilingual-uncased,default,0.05,0.09,0.30,-0.11
BPE,50000,-0.10,0.18,0.40,-0.18
WPC,30000,-0.13,0.20,0.43,-0.21
WPC,20000,-0.12,0.19,0.43,-0.20
BPE,40000,-0.10,0.18,0.40,-0.18
WPC,60000,-0.14,0.21,0.43,-0.21
WPC,70000,-0.13,0.21,0.43,-0.20
bert-base-multilingual-cased,default,0.05,0.09,0.29,-0.11
BPE,10000,-0.06,0.15,0.38,-0.16
BPE,30000,-0.10,0.18,0.40,-0.18
WPC,50000,-0.13,0.21,0.43,-0.21
WPC,40000,-0.13,0.21,0.43,-0.21
BPE,20000,-0.09,0.17,0.40,-0.17
UNI,70000,-0.16,0.20,0.37,-0.19
xlm-roberta-base,default,0.04,0.10,0.29,-0.12
UNI,60000,-0.16,0.20,0.37,-0.19
UNI,40000,-0.16,0.20,0.37,-0.19
UNI,50000,-0.16,0.20,0.37,-0.19
UNI,10000,-0.11,0.18,0.35,-0.18
UNI,20000,-0.15,0.20,0.37,-0.20
bert-base-cased,default,-0.09,0.18,0.40,-0.18
UNI,30000,-0.16,0.21,0.37,-0.20
xlnet-base-cased,default,-0.15,0.21,0.39,-0.19
bert-base-uncased,default,-0.05,0.17,0.39,-0.18
gpt2,default,-0.04,0.15,0.36,-0.16
BPE,1000,0.07,0.08,0.28,-0.10
BPE,5000,-0.04,0.14,0.36,-0.15
