words
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.29,-0.01,0.01,0.18
UNI,5000,0.39,-0.18,-0.16,0.29
WPC,5000,0.37,-0.11,-0.10,0.26
UNI,1000,0.30,-0.02,-0.04,0.17
BPE,60000,0.58,-0.40,-0.35,0.51
WPC,10000,0.41,-0.17,-0.16,0.31
BPE,70000,0.59,-0.42,-0.36,0.52
bert-base-multilingual-uncased,default,0.37,-0.09,-0.14,0.26
BPE,50000,0.57,-0.38,-0.33,0.48
WPC,30000,0.51,-0.30,-0.26,0.42
WPC,20000,0.47,-0.25,-0.22,0.37
BPE,40000,0.54,-0.35,-0.31,0.46
WPC,60000,0.58,-0.40,-0.34,0.50
WPC,70000,0.60,-0.42,-0.35,0.52
BPE,10000,0.42,-0.18,-0.17,0.32
BPE,30000,0.52,-0.31,-0.27,0.42
WPC,50000,0.57,-0.38,-0.32,0.48
WPC,40000,0.54,-0.35,-0.30,0.46
BPE,20000,0.48,-0.26,-0.23,0.38
UNI,70000,0.51,-0.41,-0.29,0.47
xlm-roberta-base,default,0.41,-0.14,-0.15,0.28
UNI,60000,0.51,-0.41,-0.29,0.47
UNI,40000,0.52,-0.41,-0.31,0.48
UNI,50000,0.51,-0.41,-0.29,0.46
bert-base-spanish-wwm-uncased,default,0.55,-0.33,-0.32,0.46
UNI,10000,0.44,-0.26,-0.23,0.35
UNI,20000,0.50,-0.35,-0.30,0.43
UNI,30000,0.52,-0.39,-0.31,0.46
BPE,1000,0.30,0.00,-0.02,0.16
BPE,5000,0.37,-0.11,-0.11,0.27
nonwords
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.46,0.25,0.35,-0.10
UNI,5000,0.42,0.26,0.28,-0.13
WPC,5000,0.41,0.28,0.37,-0.14
UNI,1000,0.46,0.24,0.27,-0.12
BPE,60000,0.42,0.31,0.34,-0.18
WPC,10000,0.40,0.29,0.38,-0.16
BPE,70000,0.42,0.31,0.34,-0.19
bert-base-multilingual-uncased,default,0.49,0.25,0.34,-0.10
BPE,50000,0.42,0.31,0.34,-0.19
WPC,30000,0.40,0.32,0.39,-0.17
WPC,20000,0.40,0.31,0.38,-0.17
BPE,40000,0.42,0.31,0.34,-0.18
WPC,60000,0.39,0.32,0.40,-0.17
WPC,70000,0.39,0.33,0.40,-0.17
BPE,10000,0.44,0.29,0.32,-0.17
BPE,30000,0.42,0.31,0.34,-0.18
WPC,50000,0.40,0.32,0.40,-0.17
WPC,40000,0.39,0.32,0.39,-0.17
BPE,20000,0.43,0.30,0.33,-0.18
UNI,70000,0.32,0.28,0.30,-0.16
xlm-roberta-base,default,0.51,0.24,0.28,-0.09
UNI,60000,0.32,0.28,0.30,-0.16
UNI,40000,0.34,0.27,0.29,-0.15
UNI,50000,0.32,0.28,0.30,-0.16
bert-base-spanish-wwm-uncased,default,0.43,0.32,0.36,-0.18
UNI,10000,0.40,0.26,0.29,-0.14
UNI,20000,0.37,0.27,0.29,-0.15
UNI,30000,0.36,0.27,0.29,-0.15
BPE,1000,0.48,0.25,0.29,-0.13
BPE,5000,0.44,0.28,0.31,-0.16
