words
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.36,-0.03,0.06,0.11
UNI,5000,0.40,-0.19,-0.14,0.23
WPC,5000,0.42,-0.15,-0.08,0.20
UNI,1000,0.34,-0.05,-0.01,0.11
camembert-base,default,0.52,-0.33,-0.26,0.37
BPE,60000,0.49,-0.34,-0.21,0.37
WPC,10000,0.47,-0.22,-0.14,0.26
BPE,70000,0.48,-0.35,-0.21,0.37
bert-base-multilingual-uncased,default,0.39,-0.09,-0.09,0.16
BPE,50000,0.50,-0.34,-0.22,0.37
WPC,30000,0.52,-0.33,-0.22,0.35
WPC,20000,0.51,-0.29,-0.20,0.32
BPE,40000,0.51,-0.34,-0.23,0.36
WPC,60000,0.50,-0.35,-0.21,0.37
WPC,70000,0.49,-0.36,-0.21,0.37
BPE,10000,0.47,-0.21,-0.15,0.26
BPE,30000,0.51,-0.32,-0.22,0.35
WPC,50000,0.51,-0.35,-0.22,0.37
WPC,40000,0.52,-0.34,-0.22,0.36
BPE,20000,0.50,-0.29,-0.20,0.32
UNI,70000,0.41,-0.33,-0.15,0.33
xlm-roberta-base,default,0.37,-0.09,-0.04,0.14
UNI,60000,0.41,-0.33,-0.15,0.33
UNI,40000,0.42,-0.33,-0.16,0.34
UNI,50000,0.41,-0.33,-0.15,0.33
UNI,10000,0.43,-0.27,-0.20,0.30
UNI,20000,0.43,-0.32,-0.20,0.34
UNI,30000,0.43,-0.33,-0.19,0.35
BPE,1000,0.36,-0.04,0.03,0.12
BPE,5000,0.43,-0.15,-0.08,0.21
nonwords
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.06,0.28,0.23,-0.06
UNI,5000,0.04,0.25,0.18,-0.05
WPC,5000,0.02,0.30,0.26,-0.10
UNI,1000,0.08,0.24,0.15,-0.03
camembert-base,default,0.04,0.30,0.25,-0.05
BPE,60000,0.06,0.29,0.22,-0.06
WPC,10000,0.02,0.30,0.27,-0.11
BPE,70000,0.06,0.29,0.22,-0.06
bert-base-multilingual-uncased,default,0.09,0.28,0.20,-0.04
BPE,50000,0.06,0.29,0.22,-0.06
WPC,30000,0.01,0.31,0.29,-0.09
WPC,20000,0.01,0.31,0.28,-0.10
BPE,40000,0.06,0.29,0.22,-0.06
WPC,60000,0.02,0.30,0.28,-0.06
WPC,70000,0.02,0.30,0.28,-0.06
BPE,10000,0.06,0.28,0.22,-0.06
BPE,30000,0.06,0.29,0.22,-0.06
WPC,50000,0.01,0.31,0.29,-0.07
WPC,40000,0.01,0.31,0.29,-0.08
BPE,20000,0.05,0.29,0.22,-0.06
UNI,70000,0.00,0.25,0.20,-0.07
xlm-roberta-base,default,0.12,0.25,0.14,0.01
UNI,60000,0.00,0.25,0.20,-0.07
UNI,40000,0.01,0.25,0.20,-0.07
UNI,50000,0.00,0.25,0.20,-0.07
UNI,10000,0.03,0.25,0.18,-0.06
UNI,20000,0.03,0.25,0.19,-0.06
UNI,30000,0.02,0.25,0.19,-0.06
BPE,1000,0.09,0.27,0.18,-0.03
BPE,5000,0.07,0.28,0.20,-0.05
