words
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.23,-0.01,-0.09,0.14
UNI,5000,0.41,-0.21,-0.32,0.30
WPC,5000,0.34,-0.13,-0.21,0.23
UNI,1000,0.27,-0.04,-0.17,0.15
BPE,60000,0.45,-0.37,-0.32,0.44
WPC,10000,0.41,-0.21,-0.29,0.31
BPE,70000,0.44,-0.36,-0.31,0.43
BPE,50000,0.45,-0.36,-0.33,0.44
WPC,30000,0.47,-0.34,-0.35,0.42
WPC,20000,0.46,-0.29,-0.34,0.38
BPE,40000,0.46,-0.35,-0.34,0.43
WPC,60000,0.46,-0.38,-0.33,0.45
WPC,70000,0.46,-0.39,-0.32,0.46
bert-base-multilingual-cased,default,0.20,0.01,-0.08,0.09
BPE,10000,0.42,-0.21,-0.31,0.31
BPE,30000,0.47,-0.33,-0.35,0.42
WPC,50000,0.47,-0.38,-0.35,0.45
WPC,40000,0.47,-0.36,-0.35,0.44
BPE,20000,0.46,-0.30,-0.35,0.39
UNI,70000,0.44,-0.34,-0.32,0.40
xlm-roberta-base,default,0.27,-0.05,-0.15,0.16
UNI,60000,0.44,-0.34,-0.32,0.40
UNI,40000,0.45,-0.35,-0.33,0.41
UNI,50000,0.44,-0.34,-0.32,0.40
UNI,10000,0.45,-0.29,-0.35,0.36
UNI,20000,0.46,-0.34,-0.36,0.41
UNI,30000,0.46,-0.35,-0.34,0.42
gpt2,default,0.10,0.11,0.05,-0.03
BPE,1000,0.24,-0.03,-0.11,0.14
bert-base-dutch-cased,default,0.48,-0.41,-0.36,0.46
BPE,5000,0.36,-0.14,-0.25,0.24
nonwords
Model, Vocab_Size, NumSplits_RT, NumSplits_Acc, Wordiness_RT, Wordiness_Acc
WPC,1000,0.07,0.06,0.27,-0.11
UNI,5000,-0.04,0.13,0.31,-0.16
WPC,5000,-0.02,0.10,0.32,-0.14
UNI,1000,0.07,0.07,0.23,-0.12
BPE,60000,-0.03,0.13,0.33,-0.16
WPC,10000,-0.05,0.13,0.34,-0.16
BPE,70000,-0.03,0.13,0.33,-0.15
BPE,50000,-0.03,0.13,0.33,-0.15
WPC,30000,-0.07,0.14,0.35,-0.16
WPC,20000,-0.06,0.13,0.35,-0.15
BPE,40000,-0.03,0.13,0.33,-0.15
WPC,60000,-0.07,0.15,0.36,-0.16
WPC,70000,-0.07,0.15,0.36,-0.16
bert-base-multilingual-cased,default,0.15,0.02,0.18,-0.06
BPE,10000,-0.01,0.10,0.31,-0.13
BPE,30000,-0.03,0.12,0.33,-0.15
WPC,50000,-0.07,0.15,0.36,-0.16
WPC,40000,-0.08,0.15,0.36,-0.16
BPE,20000,-0.03,0.12,0.33,-0.15
UNI,70000,-0.13,0.17,0.35,-0.18
xlm-roberta-base,default,0.10,0.05,0.22,-0.09
UNI,60000,-0.13,0.17,0.35,-0.18
UNI,40000,-0.12,0.17,0.35,-0.18
UNI,50000,-0.13,0.17,0.35,-0.18
UNI,10000,-0.07,0.15,0.32,-0.17
UNI,20000,-0.10,0.17,0.34,-0.19
UNI,30000,-0.12,0.17,0.35,-0.18
gpt2,default,0.24,-0.05,0.05,0.01
BPE,1000,0.07,0.07,0.26,-0.12
bert-base-dutch-cased,default,-0.11,0.19,0.35,-0.20
BPE,5000,0.02,0.08,0.30,-0.12
