,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,['aband'],0,0.8
2,abayed,N,6,"['ab', 'ayed']",1,0.67
3,abbear,N,6,"['abb', 'ear']",1,0.67
4,abbears,N,7,"['abb', 'ears']",1,0.71
5,abbens,N,6,"['abb', 'ens']",1,0.67
6,abchaim,N,7,"['ab', 'ch', 'aim']",2,0.57
7,abects,N,6,"['ab', 'ect', 's']",2,0.5
8,abeme,N,5,"['ab', 'eme']",1,0.6
9,abents,N,6,"['ab', 'ents']",1,0.67
10,abests,N,6,"['ab', 'ests']",1,0.67
11,abik,N,4,"['ab', 'ik']",1,0.5
12,ablobs,N,6,"['abl', 'obs']",1,0.67
13,abme,N,4,"['ab', 'me']",1,0.5
14,abne,N,4,"['ab', 'ne']",1,0.5
15,abone,N,5,"['ab', 'one']",1,0.6
16,abones,N,6,"['ab', 'ones']",1,0.67
17,abow,N,4,"['ab', 'ow']",1,0.5
18,abran,N,5,"['ab', 'ran']",1,0.6
19,abrass,N,6,"['ab', 'r', 'ass']",2,0.5
20,abrast,N,6,"['ab', 'rast']",1,0.67
21,abre,N,4,['abre'],0,0.75
22,abreeves,N,8,"['ab', 'ree', 'ves']",2,0.62
23,abroths,N,7,"['ab', 'ro', 'ths']",2,0.57
24,abrush,N,6,"['ab', 'rush']",1,0.67
25,abscrict,N,8,"['ab', 'sc', 'rict']",2,0.62
26,abscue,N,6,"['ab', 'sc', 'ue']",2,0.5
27,abscued,N,7,"['ab', 'sc', 'ued']",2,0.57
28,abscusts,N,8,"['ab', 'sc', 'ust', 's']",3,0.5
29,absians,N,7,"['abs', 'ians']",1,0.71
30,absidge,N,7,"['abs', 'idge']",1,0.71
31,absigned,N,8,"['abs', 'igned']",1,0.75
32,absincts,N,8,"['abs', 'inct', 's']",2,0.62
33,absipsed,N,8,"['abs', 'ips', 'ed']",2,0.62
34,absirl,N,6,"['abs', 'irl']",1,0.67
35,abslete,N,7,"['abs', 'lete']",1,0.71
36,absletes,N,8,"['abs', 'letes']",1,0.75
37,absord,N,6,"['abs', 'ord']",1,0.67
38,absords,N,7,"['abs', 'ords']",1,0.71
39,absost,N,6,"['abs', 'ost']",1,0.67
40,absosts,N,7,"['abs', 'ost', 's']",2,0.57
41,absount,N,7,"['abs', 'ount']",1,0.71
42,absounts,N,8,"['abs', 'ount', 's']",2,0.62
43,abstrade,N,8,"['ab', 'str', 'ade']",2,0.62
44,abstrides,N,9,"['ab', 'str', 'ides']",2,0.67
45,abstuened,N,9,"['ab', 'st', 'u', 'ened']",3,0.56
46,abstuent,N,8,"['ab', 'st', 'u', 'ent']",3,0.5
47,absuse,N,6,"['abs', 'use']",1,0.67
48,absused,N,7,"['abs', 'used']",1,0.71
49,abud,N,4,"['ab', 'ud']",1,0.5
50,abusts,N,6,"['ab', 'ust', 's']",2,0.5
51,abvid,N,5,"['ab', 'vid']",1,0.6
52,abwipt,N,6,"['ab', 'w', 'ipt']",2,0.5
53,acaned,N,6,"['ac', 'aned']",1,0.67
54,acax,N,4,"['ac', 'ax']",1,0.5
55,accar,N,5,"['acc', 'ar']",1,0.6
56,accars,N,6,"['acc', 'ars']",1,0.67
57,acclo,N,5,"['ac', 'cl', 'o']",2,0.4
58,accrieve,N,8,"['acc', 'rieve']",1,0.75
59,accrieved,N,9,"['acc', 'rieved']",1,0.78
60,accrond,N,7,"['acc', 'r', 'ond']",2,0.57
61,accubes,N,7,"['acc', 'ubes']",1,0.71
62,accult,N,6,"['acc', 'ult']",1,0.67
63,accune,N,6,"['acc', 'une']",1,0.67
64,accurd,N,6,"['acc', 'urd']",1,0.67
65,accures,N,7,"['acc', 'ures']",1,0.71
66,accusts,N,7,"['acc', 'ust', 's']",2,0.57
67,aced,N,4,['aced'],0,0.75
68,achens,N,6,"['ac', 'hens']",1,0.67
69,achms,N,5,"['ach', 'ms']",1,0.6
70,achop,N,5,"['ach', 'op']",1,0.6
71,aciss,N,5,"['ac', 'iss']",1,0.6
72,acive,N,5,"['ac', 'ive']",1,0.6
73,acks,N,4,['acks'],0,0.75
74,acloot,N,6,"['acl', 'oot']",1,0.67
75,acnant,N,6,"['ac', 'nant']",1,0.67
76,acone,N,5,"['ac', 'one']",1,0.6
77,acorked,N,7,"['ac', 'ork', 'ed']",2,0.57
78,acqure,N,6,"['acqu', 're']",1,0.67
79,acqured,N,7,"['acqu', 'red']",1,0.71
80,acreds,N,6,"['ac', 'red', 's']",2,0.5
81,acruist,N,7,"['ac', 'ru', 'ist']",2,0.57
82,acsuakes,N,8,"['ac', 'su', 'akes']",2,0.62
83,acter,N,5,['acter'],0,0.8
84,acters,N,6,['acters'],0,0.83
85,actot,N,5,"['act', 'ot']",1,0.6
86,acung,N,5,"['ac', 'ung']",1,0.6
87,adaints,N,7,"['ad', 'aints']",1,0.71
88,adbells,N,7,"['ad', 'bell', 's']",2,0.57
89,adbly,N,5,"['ad', 'bly']",1,0.6
90,adbries,N,7,"['ad', 'b', 'ries']",2,0.57
91,adbu,N,4,"['ad', 'bu']",1,0.5
92,adbys,N,5,"['ad', 'bys']",1,0.6
93,adcorb,N,6,"['ad', 'cor', 'b']",2,0.5
94,adcorbs,N,7,"['ad', 'cor', 'bs']",2,0.57
95,adcorts,N,7,"['ad', 'c', 'orts']",2,0.57
96,addal,N,5,"['add', 'al']",1,0.6
97,addaled,N,7,"['add', 'aled']",1,0.71
98,addave,N,6,"['add', 'ave']",1,0.67
99,adday,N,5,"['ad', 'day']",1,0.6
100,addeared,N,8,"['add', 'eared']",1,0.75
