,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['ab', 'and']",1,0.6
2,abayed,N,6,"['ab', 'ay', 'ed']",2,0.5
3,abbear,N,6,"['ab', 'be', 'ar']",2,0.5
4,abbears,N,7,"['ab', 'be', 'ar', 's']",3,0.43
5,abbens,N,6,"['ab', 'ben', 's']",2,0.5
6,abchaim,N,7,"['ab', 'cha', 'im']",2,0.57
7,abects,N,6,"['a', 'be', 'ct', 's']",3,0.33
8,abeme,N,5,"['a', 'be', 'me']",2,0.4
9,abents,N,6,"['ab', 'ents']",1,0.67
10,abests,N,6,"['ab', 'est', 's']",2,0.5
11,abik,N,4,"['ab', 'ik']",1,0.5
12,ablobs,N,6,"['ab', 'lo', 'b', 's']",3,0.33
13,abme,N,4,"['ab', 'me']",1,0.5
14,abne,N,4,"['ab', 'ne']",1,0.5
15,abone,N,5,"['ab', 'one']",1,0.6
16,abones,N,6,"['ab', 'on', 'es']",2,0.5
17,abow,N,4,"['ab', 'o', 'w']",2,0.25
18,abran,N,5,"['ab', 'r', 'an']",2,0.4
19,abrass,N,6,"['ab', 'r', 'as', 's']",3,0.33
20,abrast,N,6,"['ab', 'r', 'as', 't']",3,0.33
21,abre,N,4,"['ab', 're']",1,0.5
22,abreeves,N,8,"['ab', 're', 'e', 'ves']",3,0.5
23,abroths,N,7,"['ab', 'ro', 'th', 's']",3,0.43
24,abrush,N,6,"['ab', 'r', 'us', 'h']",3,0.33
25,abscrict,N,8,"['ab', 's', 'cr', 'ic', 't']",4,0.38
26,abscue,N,6,"['ab', 's', 'cu', 'e']",3,0.33
27,abscued,N,7,"['ab', 's', 'cu', 'ed']",3,0.43
28,abscusts,N,8,"['ab', 's', 'c', 'us', 'ts']",4,0.38
29,absians,N,7,"['ab', 'si', 'ans']",2,0.57
30,absidge,N,7,"['ab', 's', 'id', 'ge']",3,0.43
31,absigned,N,8,"['ab', 'si', 'g', 'ne', 'd']",4,0.38
32,absincts,N,8,"['ab', 'sin', 'ct', 's']",3,0.5
