Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
sometrais,N,9,"['som', 'et', 'rais']",2,0.67,817.21,0.86
vetucoution,N,11,"['vet', 'u', 'cou', 'tion']",3,0.64,846.33,0.96
heusenreil,N,10,"['heus', 'en', 're', 'il']",3,0.6,716.61,0.96
lanmin,N,6,"['lan', 'min']",1,0.67,697.65,0.95
peités,N,6,"['pe', 'ités']",1,0.67,771.5,1.0
fatichée,N,8,"['fati', 'chée']",1,0.75,971.05,0.88
ainrir,N,6,"['ain', 'rir']",1,0.67,734.91,1.0
guevillors,N,10,"['gue', 'vill', 'ors']",2,0.7,768.0,1.0
injourment,N,10,"['in', 'jour', 'ment']",2,0.7,916.77,0.92
ancotemps,N,9,"['an', 'co', 'temps']",2,0.67,807.65,1.0
osatrome,N,8,"['os', 'atr', 'ome']",2,0.62,750.59,1.0
tengeur,N,7,"['ten', 'geur']",1,0.71,797.11,0.79
trouliré,N,8,"['trou', 'li', 'ré']",2,0.62,845.57,0.96
ruitreste,N,9,"['ruit', 'reste']",1,0.78,726.22,1.0
cettirait,N,9,"['cet', 'ti', 'rait']",2,0.67,809.73,0.96
lacupatraidais,N,14,"['la', 'cu', 'pat', 'raid', 'ais']",4,0.64,803.62,1.0
marbruns,N,8,"['mar', 'br', 'uns']",2,0.62,810.41,0.92
decicrirains,N,12,"['deci', 'cr', 'ira', 'ins']",3,0.67,1014.83,0.92
tuntourcarse,N,12,"['tun', 'tour', 'carse']",2,0.75,692.55,0.96
facrétrer,N,9,"['fac', 'ré', 'trer']",2,0.67,811.5,0.95
étontribles,N,11,"['éton', 'tri', 'bles']",2,0.73,856.9,0.91
fidiencote,N,10,"['fi', 'dien', 'cote']",2,0.7,817.19,1.0
avero,N,5,"['aver', 'o']",1,0.6,726.0,1.0
chasertion,N,10,"['chas', 'er', 'tion']",2,0.7,810.48,1.0
choroqueux,N,10,"['ch', 'oro', 'que', 'ux']",3,0.6,915.0,1.0
oumisjorivre,N,12,"['ou', 'mis', 'jor', 'ivre']",3,0.67,666.14,1.0
arreutuce,N,9,"['arre', 'ut', 'u', 'ce']",3,0.56,710.15,0.91
letron,N,6,"['le', 'tron']",1,0.67,673.64,0.96
repole,N,6,"['re', 'pole']",1,0.67,690.48,1.0
dannonser,N,9,"['dan', 'non', 'ser']",2,0.67,736.38,1.0
tiléle,N,6,"['ti', 'lé', 'le']",2,0.5,739.26,1.0
seutrevait,N,10,"['se', 'utre', 'vait']",2,0.7,936.73,1.0
deterserpas,N,11,"['deter', 'ser', 'pas']",2,0.73,804.77,1.0
