,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['a', 'b', 'and']",2,0.4
2,abayed,N,6,"['a', 'ba', 'y', 'e', 'd']",4,0.17
3,abbear,N,6,"['a', 'b', 'be', 'ar']",3,0.33
4,abbears,N,7,"['a', 'b', 'be', 'ar', 's']",4,0.29
5,abbens,N,6,"['a', 'b', 'b', 'en', 's']",4,0.17
6,abchaim,N,7,"['a', 'b', 'cha', 'i', 'm']",4,0.29
7,abects,N,6,"['a', 'be', 'c', 't', 's']",4,0.17
8,abeme,N,5,"['a', 'be', 'me']",2,0.4
9,abents,N,6,"['a', 'b', 'ent', 's']",3,0.33
10,abests,N,6,"['a', 'b', 'est', 's']",3,0.33
11,abik,N,4,"['a', 'bi', 'k']",2,0.25
12,ablobs,N,6,"['a', 'b', 'lo', 'b', 's']",4,0.17
13,abme,N,4,"['a', 'b', 'me']",2,0.25
14,abne,N,4,"['a', 'b', 'n', 'e']",3,0.0
15,abone,N,5,"['a', 'b', 'on', 'e']",3,0.2
16,abones,N,6,"['a', 'b', 'on', 'e', 's']",4,0.17
17,abow,N,4,"['a', 'bo', 'w']",2,0.25
18,abran,N,5,"['a', 'bra', 'n']",2,0.4
19,abrass,N,6,"['a', 'bra', 's', 's']",3,0.33
20,abrast,N,6,"['a', 'bra', 's', 't']",3,0.33
21,abre,N,4,"['a', 'bre']",1,0.5
22,abreeves,N,8,"['a', 'bre', 'e', 've', 's']",4,0.38
23,abroths,N,7,"['a', 'b', 'r', 'o', 'th', 's']",5,0.14
24,abrush,N,6,"['a', 'b', 'r', 'u', 's', 'h']",5,0.0
25,abscrict,N,8,"['a', 'b', 's', 'cri', 'c', 't']",5,0.25
26,abscue,N,6,"['a', 'b', 's', 'c', 'u', 'e']",5,0.0
27,abscued,N,7,"['a', 'b', 's', 'c', 'u', 'e', 'd']",6,0.0
28,abscusts,N,8,"['a', 'b', 's', 'c', 'u', 's', 't', 's']",7,0.0
29,absians,N,7,"['a', 'b', 's', 'i', 'an', 's']",5,0.14
30,absidge,N,7,"['a', 'b', 's', 'i', 'd', 'ge']",5,0.14
31,absigned,N,8,"['a', 'b', 'sign', 'e', 'd']",4,0.38
32,absincts,N,8,"['a', 'b', 's', 'in', 'c', 't', 's']",6,0.12
33,absipsed,N,8,"['a', 'b', 's', 'i', 'p', 's', 'e', 'd']",7,0.0
34,absirl,N,6,"['a', 'b', 's', 'ir', 'l']",4,0.17
35,abslete,N,7,"['a', 'b', 's', 'le', 't', 'e']",5,0.14
36,absletes,N,8,"['a', 'b', 's', 'le', 't', 'e', 's']",6,0.12
37,absord,N,6,"['a', 'b', 's', 'or', 'd']",4,0.17
38,absords,N,7,"['a', 'b', 's', 'or', 'd', 's']",5,0.14
39,absost,N,6,"['a', 'b', 's', 'o', 's', 't']",5,0.0
40,absosts,N,7,"['a', 'b', 's', 'o', 's', 't', 's']",6,0.0
41,absount,N,7,"['a', 'b', 's', 'o', 'un', 't']",5,0.14
42,absounts,N,8,"['a', 'b', 's', 'o', 'un', 't', 's']",6,0.12
43,abstrade,N,8,"['a', 'b', 's', 'tra', 'de']",4,0.38
44,abstrides,N,9,"['a', 'b', 's', 'tri', 'de', 's']",5,0.33
45,abstuened,N,9,"['a', 'b', 's', 't', 'u', 'en', 'e', 'd']",7,0.11
46,abstuent,N,8,"['a', 'b', 's', 't', 'u', 'ent']",5,0.25
47,absuse,N,6,"['a', 'b', 's', 'use']",3,0.33
48,absused,N,7,"['a', 'b', 's', 'use', 'd']",4,0.29
49,abud,N,4,"['a', 'bu', 'd']",2,0.25
50,abusts,N,6,"['a', 'bu', 's', 't', 's']",4,0.17
51,abvid,N,5,"['a', 'b', 'vi', 'd']",3,0.2
52,abwipt,N,6,"['a', 'b', 'w', 'i', 'p', 't']",5,0.0
53,acaned,N,6,"['a', 'can', 'e', 'd']",3,0.33
54,acax,N,4,"['a', 'ca', 'x']",2,0.25
55,accar,N,5,"['a', 'c', 'car']",2,0.4
56,accars,N,6,"['a', 'c', 'car', 's']",3,0.33
57,acclo,N,5,"['a', 'c', 'c', 'lo']",3,0.2
58,accrieve,N,8,"['a', 'c', 'cri', 'e', 've']",4,0.38
59,accrieved,N,9,"['a', 'c', 'cri', 'e', 've', 'd']",5,0.33
60,accrond,N,7,"['a', 'c', 'c', 'ron', 'd']",4,0.29
61,accubes,N,7,"['a', 'c', 'c', 'u', 'be', 's']",5,0.14
62,accult,N,6,"['a', 'c', 'cul', 't']",3,0.33
63,accune,N,6,"['a', 'c', 'c', 'une']",3,0.33
64,accurd,N,6,"['a', 'c', 'cur', 'd']",3,0.33
65,accures,N,7,"['a', 'c', 'cur', 'e', 's']",4,0.29
66,accusts,N,7,"['a', 'c', 'c', 'u', 's', 't', 's']",6,0.0
67,aced,N,4,"['a', 'ce', 'd']",2,0.25
68,achens,N,6,"['a', 'ch', 'en', 's']",3,0.33
69,achms,N,5,"['a', 'ch', 'm', 's']",3,0.2
70,achop,N,5,"['a', 'ch', 'op']",2,0.4
71,aciss,N,5,"['a', 'ci', 's', 's']",3,0.2
72,acive,N,5,"['a', 'c', 'ive']",2,0.4
73,acks,N,4,"['a', 'ck', 's']",2,0.25
74,acloot,N,6,"['a', 'c', 'lo', 'o', 't']",4,0.17
75,acnant,N,6,"['a', 'c', 'n', 'ant']",3,0.33
76,acone,N,5,"['a', 'con', 'e']",2,0.4
77,acorked,N,7,"['a', 'cor', 'k', 'e', 'd']",4,0.29
78,acqure,N,6,"['a', 'c', 'qu', 're']",3,0.33
79,acqured,N,7,"['a', 'c', 'qu', 're', 'd']",4,0.29
80,acreds,N,6,"['a', 'cre', 'd', 's']",3,0.33
81,acruist,N,7,"['a', 'c', 'r', 'u', 'is', 't']",5,0.14
82,acsuakes,N,8,"['a', 'c', 's', 'u', 'a', 'k', 'e', 's']",7,0.0
83,acter,N,5,"['act', 'er']",1,0.6
84,acters,N,6,"['act', 'er', 's']",2,0.5
85,actot,N,5,"['act', 'o', 't']",2,0.4
86,acung,N,5,"['a', 'c', 'un', 'g']",3,0.2
87,adaints,N,7,"['a', 'd', 'a', 'in', 't', 's']",5,0.14
88,adbells,N,7,"['a', 'd', 'be', 'l', 'l', 's']",5,0.14
89,adbly,N,5,"['a', 'd', 'b', 'ly']",3,0.2
90,adbries,N,7,"['a', 'd', 'bri', 'e', 's']",4,0.29
91,adbu,N,4,"['a', 'd', 'bu']",2,0.25
92,adbys,N,5,"['a', 'd', 'by', 's']",3,0.2
