,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['ab', '##and']",1,0.6
2,abayed,N,6,"['ab', '##ay', '##ed']",2,0.5
3,abbear,N,6,"['ab', '##be', '##ar']",2,0.5
4,abbears,N,7,"['ab', '##be', '##ars']",2,0.57
5,abbens,N,6,"['ab', '##ben', '##s']",2,0.5
6,abchaim,N,7,"['ab', '##cha', '##im']",2,0.57
7,abects,N,6,"['ab', '##ect', '##s']",2,0.5
8,abeme,N,5,"['ab', '##eme']",1,0.6
9,abents,N,6,"['ab', '##ents']",1,0.67
10,abests,N,6,"['ab', '##est', '##s']",2,0.5
11,abik,N,4,"['ab', '##ik']",1,0.5
12,ablobs,N,6,"['ab', '##lo', '##b', '##s']",3,0.33
13,abme,N,4,"['ab', '##me']",1,0.5
14,abne,N,4,"['ab', '##ne']",1,0.5
15,abone,N,5,"['ab', '##one']",1,0.6
16,abones,N,6,"['ab', '##ones']",1,0.67
17,abow,N,4,"['ab', '##ow']",1,0.5
18,abran,N,5,"['ab', '##ran']",1,0.6
19,abrass,N,6,"['ab', '##ras', '##s']",2,0.5
20,abrast,N,6,"['ab', '##ras', '##t']",2,0.5
21,abre,N,4,"['ab', '##re']",1,0.5
22,abreeves,N,8,"['ab', '##ree', '##ves']",2,0.62
23,abroths,N,7,"['ab', '##ro', '##th', '##s']",3,0.43
24,abrush,N,6,"['ab', '##ru', '##s', '##h']",3,0.33
25,abscrict,N,8,"['abs', '##cr', '##ict']",2,0.62
26,abscue,N,6,"['abs', '##c', '##ue']",2,0.5
27,abscued,N,7,"['abs', '##c', '##ue', '##d']",3,0.43
28,abscusts,N,8,"['abs', '##c', '##ust', '##s']",3,0.5
29,absians,N,7,"['abs', '##ian', '##s']",2,0.57
30,absidge,N,7,"['abs', '##id', '##ge']",2,0.57
31,absigned,N,8,"['abs', '##ign', '##ed']",2,0.62
32,absincts,N,8,"['abs', '##inc', '##ts']",2,0.62
33,absipsed,N,8,"['abs', '##ip', '##se', '##d']",3,0.5
