,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,['aad'],0,0.67
1,aaf,N,3,['aaf'],0,0.67
2,aagst,N,5,"['aag', 'st']",1,0.6
3,aakbeest,N,8,"['aak', 'be', 'est']",2,0.62
4,aakje,N,5,"['aak', 'je']",1,0.6
5,aaks,N,4,"['aak', 's']",1,0.5
6,aakst,N,5,"['aak', 'st']",1,0.6
7,aakwes,N,6,"['aak', 'we', 's']",2,0.5
8,aalde,N,5,"['aal', 'de']",1,0.6
9,aalden,N,6,"['aal', 'den']",1,0.67
10,aalder,N,6,"['aal', 'der']",1,0.67
11,aalgees,N,7,"['aal', 'ge', 'es']",2,0.57
12,aanbok,N,6,"['aan', 'b', 'ok']",2,0.5
13,aanbol,N,6,"['aan', 'bol']",1,0.67
14,aand,N,4,"['aan', 'd']",1,0.5
15,aandge,N,6,"['aan', 'd', 'ge']",2,0.5
16,aangiep,N,7,"['aan', 'g', 'iep']",2,0.57
17,aankeen,N,7,"['aan', 'k', 'een']",2,0.57
18,aankeerd,N,8,"['aan', 'keerd']",1,0.75
19,aankrast,N,8,"['aan', 'k', 'ra', 'st']",3,0.5
20,aankruig,N,8,"['aan', 'kru', 'ig']",2,0.62
21,aannicht,N,8,"['aan', 'n', 'icht']",2,0.62
22,aannorst,N,8,"['aan', 'nor', 'st']",2,0.62
23,aanpijk,N,7,"['aan', 'p', 'ijk']",2,0.57
24,aanplok,N,7,"['aan', 'pl', 'ok']",2,0.57
25,aanpunst,N,8,"['aan', 'pun', 'st']",2,0.62
26,aanrof,N,6,"['aan', 'ro', 'f']",2,0.5
27,aanrus,N,6,"['aan', 'r', 'us']",2,0.5
28,aans,N,4,['aans'],0,0.75
29,aanschijk,N,9,"['aan', 'sch', 'ijk']",2,0.67
30,aanschuw,N,8,"['aan', 'schuw']",1,0.75
31,aanstaam,N,8,"['aan', 'st', 'aam']",2,0.62
32,aanveeldt,N,9,"['aan', 've', 'eld', 't']",3,0.56
33,aanweer,N,7,"['aan', 'weer']",1,0.71
34,aanwid,N,6,"['aan', 'w', 'id']",2,0.5
35,aarbracht,N,9,"['aar', 'bracht']",1,0.78
36,aarbrang,N,8,"['aar', 'br', 'ang']",2,0.62
37,aardgoo,N,7,"['aard', 'goo']",1,0.71
38,aardkil,N,7,"['aard', 'kil']",1,0.71
39,aardraan,N,8,"['aar', 'dr', 'aan']",2,0.62
40,aardsomst,N,9,"['aard', 'som', 'st']",2,0.67
41,aargrift,N,8,"['aar', 'gr', 'ift']",2,0.62
42,aarhoop,N,7,"['aar', 'hoop']",1,0.71
43,aarjang,N,7,"['aar', 'j', 'ang']",2,0.57
44,aarlang,N,7,"['aar', 'lang']",1,0.71
45,aarnert,N,7,"['aar', 'n', 'ert']",2,0.57
46,aarplag,N,7,"['aar', 'pl', 'ag']",2,0.57
47,aarriens,N,8,"['aar', 'r', 'ien', 's']",3,0.5
48,aarschaans,N,10,"['aar', 'sch', 'aans']",2,0.7
49,aarschein,N,9,"['aar', 'sche', 'in']",2,0.67
50,aarsien,N,7,"['aars', 'ien']",1,0.71
51,aarst,N,5,"['aar', 'st']",1,0.6
