Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
aad,N,3,"['a', '##ad']",1,0.33,628.03,0.95
aaf,N,3,"['a', '##af']",1,0.33,586.11,1.0
aagst,N,5,"['a', '##ag', '##st']",2,0.4,746.65,0.9
aakbeest,N,8,"['a', '##ak', '##be', '##est']",3,0.5,600.92,1.0
aakje,N,5,"['a', '##ak', '##je']",2,0.4,631.08,0.97
aaks,N,4,"['a', '##ak', '##s']",2,0.25,623.64,0.97
aakst,N,5,"['a', '##ak', '##st']",2,0.4,603.72,1.0
aakwes,N,6,"['a', '##ak', '##we', '##s']",3,0.33,603.21,1.0
aalde,N,5,"['a', '##ald', '##e']",2,0.4,708.89,0.95
aalden,N,6,"['a', '##ald', '##en']",2,0.5,723.83,0.9
aalder,N,6,"['a', '##ald', '##er']",2,0.5,616.25,0.92
aalgees,N,7,"['a', '##al', '##ge', '##es']",3,0.43,632.65,0.97
aanbok,N,6,"['aanb', '##ok']",1,0.67,757.44,0.9
aanbol,N,6,"['aanb', '##ol']",1,0.67,732.24,0.92
aand,N,4,['aand'],0,0.75,597.79,1.0
aandge,N,6,"['aand', '##ge']",1,0.67,609.87,1.0
aangiep,N,7,"['aang', '##iep']",1,0.71,709.32,1.0
aankeen,N,7,"['aank', '##een']",1,0.71,613.69,1.0
aankeerd,N,8,"['aank', '##eerd']",1,0.75,711.68,0.9
aankrast,N,8,"['aank', '##ra', '##st']",2,0.62,738.13,0.92
aankruig,N,8,"['aank', '##ru', '##ig']",2,0.62,667.62,0.97
aannicht,N,8,"['aan', '##n', '##icht']",2,0.62,663.67,0.95
aannorst,N,8,"['aan', '##n', '##orst']",2,0.62,605.54,0.97
aanpijk,N,7,"['aanp', '##ijk']",1,0.71,665.82,0.97
aanplok,N,7,"['aanp', '##lo', '##k']",2,0.57,651.29,1.0
aanpunst,N,8,"['aanp', '##un', '##st']",2,0.62,678.82,0.97
aanrof,N,6,"['aan', '##ro', '##f']",2,0.5,650.0,0.92
aanrus,N,6,"['aan', '##ru', '##s']",2,0.5,676.21,1.0
aans,N,4,"['aan', '##s']",1,0.5,664.76,0.97
aanschijk,N,9,"['aan', '##sch', '##ijk']",2,0.67,719.69,0.92
aanschuw,N,8,"['aan', '##sch', '##uw']",2,0.62,821.53,0.51
aanstaam,N,8,"['aan', '##st', '##aam']",2,0.62,759.37,0.92
