Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
aad,N,3,"['aa', '##d']",1,0.33,628.03,0.95
aaf,N,3,"['aa', '##f']",1,0.33,586.11,1.0
aagst,N,5,"['aa', '##gst']",1,0.6,746.65,0.9
aakbeest,N,8,"['aa', '##k', '##bee', '##st']",3,0.5,600.92,1.0
aakje,N,5,"['aa', '##kje']",1,0.6,631.08,0.97
aaks,N,4,"['aa', '##ks']",1,0.5,623.64,0.97
aakst,N,5,"['aa', '##kst']",1,0.6,603.72,1.0
aakwes,N,6,"['aa', '##k', '##wes']",2,0.5,603.21,1.0
aalde,N,5,"['aa', '##lde']",1,0.6,708.89,0.95
aalden,N,6,"['aa', '##lden']",1,0.67,723.83,0.9
aalder,N,6,"['aa', '##lder']",1,0.67,616.25,0.92
aalgees,N,7,"['aa', '##lge', '##es']",2,0.57,632.65,0.97
aanbok,N,6,"['aan', '##bok']",1,0.67,757.44,0.9
aanbol,N,6,"['aan', '##bol']",1,0.67,732.24,0.92
aand,N,4,"['aan', '##d']",1,0.5,597.79,1.0
aandge,N,6,"['aan', '##dge']",1,0.67,609.87,1.0
aangiep,N,7,"['aan', '##gie', '##p']",2,0.57,709.32,1.0
aankeen,N,7,"['aan', '##kee', '##n']",2,0.57,613.69,1.0
aankeerd,N,8,"['aan', '##keer', '##d']",2,0.62,711.68,0.9
aankrast,N,8,"['aan', '##kra', '##st']",2,0.62,738.13,0.92
aankruig,N,8,"['aan', '##kr', '##ui', '##g']",3,0.5,667.62,0.97
aannicht,N,8,"['aan', '##nich', '##t']",2,0.62,663.67,0.95
aannorst,N,8,"['aan', '##nor', '##st']",2,0.62,605.54,0.97
aanpijk,N,7,"['aan', '##pi', '##jk']",2,0.57,665.82,0.97
aanplok,N,7,"['aan', '##plo', '##k']",2,0.57,651.29,1.0
aanpunst,N,8,"['aan', '##pun', '##st']",2,0.62,678.82,0.97
aanrof,N,6,"['aan', '##ro', '##f']",2,0.5,650.0,0.92
aanrus,N,6,"['aan', '##rus']",1,0.67,676.21,1.0
aans,N,4,"['aan', '##s']",1,0.5,664.76,0.97
aanschijk,N,9,"['aan', '##schi', '##jk']",2,0.67,719.69,0.92
aanschuw,N,8,"['aan', '##sch', '##uw']",2,0.62,821.53,0.51
aanstaam,N,8,"['aan', '##staa', '##m']",2,0.62,759.37,0.92
