Metric,Category,Language,Model,Vocab Size,Correlation,,,,,,
Accuracy,Words,English,BPE,50000,0.47,,,,,,
Accuracy,Words,Dutch,BPE,50000,0.44,,,,,,
Accuracy,Words,French,BPE,50000,0.37,,,,,,
Accuracy,Words,Spanish,BPE,50000,0.48,,,,,,
Accuracy,Non-Words,English,BPE,50000,-0.18,,,,,,
Accuracy,Non-Words,Dutch,BPE,50000,-0.15,,,,,,
Accuracy,Non-Words,French,BPE,50000,-0.06,,,,,,
Accuracy,Non-Words,Spanish,BPE,50000,-0.19,,,,,,
Reading Time,Words,English,BPE,50000,-0.33,,,,,,
Reading Time,Words,Dutch,BPE,50000,-0.33,,,,,,
Reading Time,Words,French,BPE,50000,-0.22,,,,,,
Reading Time,Words,Spanish,BPE,50000,-0.33,,,,,,
Reading Time,Non-Words,English,BPE,50000,0.4,,,,,,
Reading Time,Non-Words,Dutch,BPE,50000,0.33,,,,,,
Reading Time,Non-Words,French,BPE,50000,0.22,,,,,,
Reading Time,Non-Words,Spanish,BPE,50000,0.34,,,,,,
Accuracy,Words,English,UNI,50000,0.38,,,,,,
Accuracy,Words,Dutch,UNI,50000,0.4,,,,,,
Accuracy,Words,French,UNI,50000,0.33,,,,,,
Accuracy,Words,Spanish,UNI,50000,0.46,,,,,,
Accuracy,Non-Words,English,UNI,50000,-0.19,,,,,,
Accuracy,Non-Words,Dutch,UNI,50000,-0.18,,,,,,
Accuracy,Non-Words,French,UNI,50000,-0.07,,,,,,
Accuracy,Non-Words,Spanish,UNI,50000,-0.16,,,,,,
Reading Time,Words,English,UNI,50000,-0.24,,,,,,
Reading Time,Words,Dutch,UNI,50000,-0.32,,,,,,
Reading Time,Words,French,UNI,50000,-0.15,,,,,,
Reading Time,Words,Spanish,UNI,50000,-0.29,,,,,,
Reading Time,Non-Words,English,UNI,50000,0.37,,,,,,
Reading Time,Non-Words,Dutch,UNI,50000,0.35,,,,,,
Reading Time,Non-Words,French,UNI,50000,0.2,,,,,,
Reading Time,Non-Words,Spanish,UNI,50000,0.3,,,,,,
Accuracy,Words,English,WPC,50000,0.48,,,,,,
Accuracy,Words,Dutch,WPC,50000,0.45,,,,,,
Accuracy,Words,French,WPC,50000,0.37,,,,,,
Accuracy,Words,Spanish,WPC,50000,0.48,,,,,,
Accuracy,Non-Words,English,WPC,50000,-0.21,,,,,,
Accuracy,Non-Words,Dutch,WPC,50000,-0.16,,,,,,
Accuracy,Non-Words,French,WPC,50000,-0.07,,,,,,
Accuracy,Non-Words,Spanish,WPC,50000,-0.17,,,,,,
Reading Time,Words,English,WPC,50000,-0.35,,,,,,
Reading Time,Words,Dutch,WPC,50000,-0.35,,,,,,
Reading Time,Words,French,WPC,50000,-0.22,,,,,,
Reading Time,Words,Spanish,WPC,50000,-0.32,,,,,,
Reading Time,Non-Words,English,WPC,50000,0.43,,,,,,
Reading Time,Non-Words,Dutch,WPC,50000,0.36,,,,,,
Reading Time,Non-Words,French,WPC,50000,0.29,,,,,,
Reading Time,Non-Words,Spanish,WPC,50000,0.4,,,,,,
Accuracy,Words,English,Length,50000,0.06,,,,,,
Accuracy,Words,Dutch,Length,50000,0.11,,,,,,
Accuracy,Words,French,Length,50000,0.06,,,,,,
Accuracy,Words,Spanish,Length,50000,0.11,,,,,,
Accuracy,Non-Words,English,Length,50000,-0.01,,,,,,
Accuracy,Non-Words,Dutch,Length,50000,-0.04,,,,,,
Accuracy,Non-Words,French,Length,50000,0.26,,,,,,
Accuracy,Non-Words,Spanish,Length,50000,0.18,,,,,,
Reading Time,Words,English,Length,50000,0.22,,,,,,
Reading Time,Words,Dutch,Length,50000,0.17,,,,,,
Reading Time,Words,French,Length,50000,0.4,,,,,,
Reading Time,Words,Spanish,Length,50000,0.03,,,,,,
Reading Time,Non-Words,English,Length,50000,0.31,,,,,,
Reading Time,Non-Words,Dutch,Length,50000,0.32,,,,,,
Reading Time,Non-Words,French,Length,50000,0.23,,,,,,
Reading Time,Non-Words,Spanish,Length,50000,0.04,,,,,,
